,base_case
2 O + M <=> O2 + M,-6.302999675506522e-08
H + O + M <=> OH + M,-2.4210702767890143e-06
H2 + O <=> H + OH,-0.006645578230196656
HO2 + O <=> O2 + OH,7.582668056285099e-05
H2O2 + O <=> HO2 + OH,-9.971466959247323e-06
CH + O <=> CO + H,-1.2447280326618555e-05
CH2 + O <=> H + HCO,-6.727370623626755e-05
CH2(S) + O <=> CO + H2,-5.379114823177463e-06
CH2(S) + O <=> H + HCO,-5.070040170302005e-07
CH3 + O <=> CH2O + H,-0.003835587988405894
CH3 + O => CO + H + H2,6.043431536282529e-06
CH4 + O <=> CH3 + OH,-0.006503955086410695
CO + O (+M) <=> CO2 (+M),-8.304962848139255e-05
HCO + O <=> CO + OH,-5.441714336888495e-05
HCO + O <=> CO2 + H,-5.008060196758819e-05
CH2O + O <=> HCO + OH,-0.0011368933194735138
CH2OH + O <=> CH2O + OH,-5.09424383539126e-06
CH3O + O <=> CH2O + OH,-3.220803896615058e-06
CH3OH + O <=> CH2OH + OH,-0.0001107844686779109
CH3OH + O <=> CH3O + OH,-1.0759943710219572e-05
C2H + O <=> CH + CO,-3.961242706023311e-07
C2H2 + O <=> H + HCCO,-0.0007825660988970357
C2H2 + O <=> C2H + OH,-3.498231953801095e-06
C2H2 + O <=> CH2 + CO,-0.00039186742545063583
C2H3 + O <=> CH2CO + H,-9.257429093184228e-05
C2H4 + O <=> CH3 + HCO,-0.0015785838533824653
C2H5 + O <=> CH2O + CH3,-9.178587408862927e-05
C2H6 + O <=> C2H5 + OH,-0.0011464391113444803
HCCO + O <=> 2 CO + H,-4.833118841195621e-05
CH2CO + O <=> HCCO + OH,-1.1848279251797019e-05
CH2CO + O <=> CH2 + CO2,-6.860647719409393e-06
CO + O2 <=> CO2 + O,1.582941969593495e-05
CH2O + O2 <=> HCO + HO2,2.8458915844849595e-05
H + O2 + M <=> HO2 + M,-0.0021869152040683735
H + O2 + O2 <=> HO2 + O2,-0.0008830147426365527
H + O2 + H2O <=> HO2 + H2O,-0.010918890740061292
H + O2 + N2 <=> HO2 + N2,-0.006327978632892795
H + O2 + AR <=> HO2 + AR,0.0
H + O2 <=> O + OH,0.09063499582511941
2 H + M <=> H2 + M,-6.154772367633705e-05
2 H + H2 <=> H2 + H2,-7.490012893177018e-06
2 H + H2O <=> H2 + H2O,-0.0001544800859281757
2 H + CO2 <=> H2 + CO2,-8.564150577815033e-07
H + OH + M <=> H2O + M,-0.0006495122434490268
H + HO2 <=> H2O + O,0.00027988116191743877
H + HO2 <=> H2 + O2,0.002592983760206868
H + HO2 <=> 2 OH,0.00048679196081175127
H + H2O2 <=> H2 + HO2,0.00011276474574477537
H + H2O2 <=> H2O + OH,2.6883350066165888e-05
CH + H <=> C + H2,-0.0005377344651713395
CH2 + H (+M) <=> CH3 (+M),-0.00010661340347089092
CH2(S) + H <=> CH + H2,2.5789790488081427e-06
CH3 + H (+M) <=> CH4 (+M),-0.033841626327928906
CH4 + H <=> CH3 + H2,0.0016243131057464598
H + HCO (+M) <=> CH2O (+M),3.2112454076911305e-05
H + HCO <=> CO + H2,-0.0019980946863189025
CH2O + H (+M) <=> CH2OH (+M),0.001101060570976915
CH2O + H (+M) <=> CH3O (+M),0.004454061846089523
CH2O + H <=> H2 + HCO,-0.00034354756323490276
CH2OH + H (+M) <=> CH3OH (+M),-6.64046429384989e-07
CH2OH + H <=> CH2O + H2,-0.00019161289167267512
CH2OH + H <=> CH3 + OH,0.005083421703289168
CH2OH + H <=> CH2(S) + H2O,0.0017511359102614504
CH3O + H (+M) <=> CH3OH (+M),1.6569740197732948e-06
CH3O + H <=> CH2OH + H,-4.267150347572667e-06
CH3O + H <=> CH2O + H2,5.083319180383441e-06
CH3O + H <=> CH3 + OH,0.00010273955397273958
CH3O + H <=> CH2(S) + H2O,1.5225199010737407e-06
CH3OH + H <=> CH2OH + H2,-0.0002969624514232855
CH3OH + H <=> CH3O + H2,0.0008494631658163316
C2H + H (+M) <=> C2H2 (+M),-3.5720536590557354e-06
C2H2 + H (+M) <=> C2H3 (+M),-0.0008711898438991542
C2H3 + H (+M) <=> C2H4 (+M),-5.8766230125028665e-05
C2H3 + H <=> C2H2 + H2,-0.001341536570135259
C2H4 + H (+M) <=> C2H5 (+M),0.009942621417493644
C2H4 + H <=> C2H3 + H2,0.0004980982733087603
C2H5 + H (+M) <=> C2H6 (+M),1.3282743808812857e-05
C2H5 + H <=> C2H4 + H2,-4.844532928454242e-05
C2H6 + H <=> C2H5 + H2,-0.0004906070814743284
H + HCCO <=> CH2(S) + CO,-0.00043353464734651793
CH2CO + H <=> H2 + HCCO,6.367125202167552e-05
CH2CO + H <=> CH3 + CO,-0.0004539483227118011
H + HCCOH <=> CH2CO + H,2.071322312107485e-05
CO + H2 (+M) <=> CH2O (+M),4.311872146169814e-06
H2 + OH <=> H + H2O,-0.0032282915093406776
2 OH (+M) <=> H2O2 (+M),-0.00012235128014043037
2 OH <=> H2O + O,-0.0017229736504104727
HO2 + OH <=> H2O + O2,-0.001099076081038753
HO2 + OH <=> H2O + O2,0.0006202529034704904
H2O2 + OH <=> H2O + HO2,-1.0134678022477493e-05
H2O2 + OH <=> H2O + HO2,0.0012664097191101337
C + OH <=> CO + H,-1.654874915398534e-05
CH + OH <=> H + HCO,2.2773543341395548e-06
CH2 + OH <=> CH2O + H,-2.1181062754943805e-05
CH2 + OH <=> CH + H2O,-7.426886246349216e-06
CH2(S) + OH <=> CH2O + H,3.328402767460809e-07
CH3 + OH => CH2O + H2,6.901030256062401e-05
CH3 + OH (+M) <=> CH3OH (+M),-0.0001061616068231649
CH3 + OH <=> CH2 + H2O,0.0005601776400196751
CH3 + OH <=> CH2(S) + H2O,0.0029145862614765997
CH4 + OH <=> CH3 + H2O,0.019345812535395957
CO + OH <=> CO2 + H,0.003624807384084836
HCO + OH <=> CO + H2O,-0.0005564522145688475
CH2O + OH <=> H2O + HCO,-0.0016156292422000692
CH2OH + OH <=> CH2O + H2O,-2.0202143892709804e-05
CH3O + OH <=> CH2O + H2O,-2.6510008734283325e-06
CH3OH + OH <=> CH2OH + H2O,-6.95067949607114e-05
CH3OH + OH <=> CH3O + H2O,-8.558076004187087e-06
C2H + OH <=> H + HCCO,-7.578925761624201e-07
C2H2 + OH <=> CH2CO + H,5.009852113294116e-05
C2H2 + OH <=> H + HCCOH,4.399207932987556e-06
C2H2 + OH <=> C2H + H2O,6.780293078714645e-06
C2H2 + OH <=> CH3 + CO,-6.658619472946099e-06
C2H3 + OH <=> C2H2 + H2O,-8.874964708428397e-05
C2H4 + OH <=> C2H3 + H2O,-0.00014888068556158195
C2H6 + OH <=> C2H5 + H2O,-0.0005245324225715024
CH2CO + OH <=> H2O + HCCO,2.4085429049023513e-05
2 HO2 <=> H2O2 + O2,0.0017715851818075584
2 HO2 <=> H2O2 + O2,0.001438189549484831
CH2 + HO2 <=> CH2O + OH,-1.9024084565796846e-05
CH3 + HO2 <=> CH4 + O2,0.002001847532040974
CH3 + HO2 <=> CH3O + OH,-0.008561111433247734
CO + HO2 <=> CO2 + OH,-0.00014771962088351646
CH2O + HO2 <=> H2O2 + HCO,1.7209436253798833e-05
C + O2 <=> CO + O,-2.282752012572557e-05
C + CH2 <=> C2H + H,-1.4488200395021328e-07
C + CH3 <=> C2H2 + H,-5.122294809444072e-06
CH + O2 <=> HCO + O,0.0010785029361558536
CH + H2 <=> CH2 + H,-0.0001513354593587075
CH + H2O <=> CH2O + H,2.7407471737689026e-05
CH + CH2 <=> C2H2 + H,-1.9856316805915532e-06
CH + CH3 <=> C2H3 + H,1.4889232519244975e-05
CH + CH4 <=> C2H4 + H,3.101534277737835e-05
CH + CO (+M) <=> HCCO (+M),0.0001239721311780408
CH + CO2 <=> CO + HCO,-7.070016855386176e-06
CH + CH2O <=> CH2CO + H,-4.701303810509277e-05
CH + HCCO <=> C2H2 + CO,-1.4460184101321154e-06
CH2 + O2 => CO + H + OH,0.002336652994099885
CH2 + H2 <=> CH3 + H,0.00013743200710077184
2 CH2 <=> C2H2 + H2,-8.459121223591132e-05
CH2 + CH3 <=> C2H4 + H,0.0003464536448790698
CH2 + CH4 <=> 2 CH3,8.784464837561794e-06
CH2 + CO (+M) <=> CH2CO (+M),0.0007456225389438891
CH2 + HCCO <=> C2H3 + CO,-1.03374236336854e-06
CH2(S) + N2 <=> CH2 + N2,0.0008121444008646211
AR + CH2(S) <=> AR + CH2,0.0
CH2(S) + O2 <=> CO + H + OH,0.0013131615420549042
CH2(S) + O2 <=> CO + H2O,-0.0009823496578328307
CH2(S) + H2 <=> CH3 + H,0.0005582136547333062
CH2(S) + H2O (+M) <=> CH3OH (+M),-0.00020965693512796916
CH2(S) + H2O <=> CH2 + H2O,0.0005605220952532368
CH2(S) + CH3 <=> C2H4 + H,1.1709519778532714e-05
CH2(S) + CH4 <=> 2 CH3,-5.626718198438458e-06
CH2(S) + CO <=> CH2 + CO,4.371955918653999e-05
CH2(S) + CO2 <=> CH2 + CO2,1.7712109340518135e-05
CH2(S) + CO2 <=> CH2O + CO,-0.00026386280125536085
C2H6 + CH2(S) <=> C2H5 + CH3,-6.850629278385432e-06
CH3 + O2 <=> CH3O + O,0.0022292020573166887
CH3 + O2 <=> CH2O + OH,0.000596018085642803
CH3 + H2O2 <=> CH4 + HO2,4.284590775319508e-05
2 CH3 (+M) <=> C2H6 (+M),0.008494643759858653
2 CH3 <=> C2H5 + H,0.0001508870702844247
CH3 + HCO <=> CH4 + CO,-0.0009659704641872414
CH2O + CH3 <=> CH4 + HCO,-0.00032091467552503483
CH3 + CH3OH <=> CH2OH + CH4,-1.4845738306217655e-05
CH3 + CH3OH <=> CH3O + CH4,0.0003624660277957329
C2H4 + CH3 <=> C2H3 + CH4,-1.0415566552155761e-05
C2H6 + CH3 <=> C2H5 + CH4,-4.2950929825498085e-05
HCO + H2O <=> CO + H + H2O,0.004481875463300317
HCO + M <=> CO + H + M,0.003123884952434043
HCO + O2 <=> CO + HO2,-0.004024551962885546
CH2OH + O2 <=> CH2O + HO2,-0.0005914432902668635
CH3O + O2 <=> CH2O + HO2,-0.005078711794436053
C2H + O2 <=> CO + HCO,6.222049251109955e-05
C2H + H2 <=> C2H2 + H,-3.90311447106412e-06
C2H3 + O2 <=> CH2O + HCO,0.00026306467945117607
C2H4 (+M) <=> C2H2 + H2 (+M),-2.1768073086378774e-07
C2H5 + O2 <=> C2H4 + HO2,-0.001544362152420346
HCCO + O2 <=> 2 CO + OH,0.0019246695456566717
2 HCCO <=> C2H2 + 2 CO,-5.744754871521159e-07
