,base_case
H + O2 <=> O + OH,-0.08393639990362811
H2 + O <=> H + OH,-0.01392331122978306
H2 + OH <=> H + H2O,-0.009300653430787372
2 OH <=> H2O + O,-0.002854323356714418
2 H + M <=> H2 + M,-0.0007988667693712258
2 O + M <=> O2 + M,-4.004453559997188e-09
H + O + M <=> OH + M,-5.8397813892142196e-05
H + OH + M <=> H2O + M,-0.00513265858935544
H + O2 (+M) <=> HO2 (+M),-0.001274870837292005
H + HO2 <=> H2 + O2,0.0010718724654765817
H + HO2 <=> 2 OH,-0.0018915548227587593
HO2 + O <=> O2 + OH,8.291511231833355e-05
HO2 + OH <=> H2O + O2,0.00037990343943378733
2 HO2 <=> H2O2 + O2,-8.603284201787361e-07
2 HO2 <=> H2O2 + O2,-2.0425693141566423e-05
2 OH (+M) <=> H2O2 (+M),-2.127075744031229e-05
H + H2O2 <=> H2O + OH,1.08709440820697e-06
H + H2O2 <=> H2 + HO2,-3.138453824546806e-05
H2O2 + O <=> HO2 + OH,8.000981042508411e-07
H2O2 + OH <=> H2O + HO2,-1.3190451648920383e-06
H2O2 + OH <=> H2O + HO2,-6.687292903004149e-06
CO + O (+M) <=> CO2 (+M),-0.00011131304488543724
CO + O2 <=> CO2 + O,-1.2085563639944807e-05
CO + OH <=> CO2 + H,-0.005347236066902641
CO + HO2 <=> CO2 + OH,-6.172568264258456e-05
HCO (+M) <=> CO + H (+M),-0.0022090485740352676
HCO + O2 <=> CO + HO2,-0.0004250671746763208
H + HCO <=> CO + H2,0.0006232863569122864
HCO + O <=> CO + OH,-1.4778464223702026e-06
HCO + O <=> CO2 + H,-1.070513278302107e-05
HCO + OH <=> CO + H2O,-0.0001829589219937224
HCO + HO2 => CO2 + H + OH,-1.6088025354696603e-05
2 HCO => 2 CO + H2,7.486001342929532e-07
H + O + M <=> OHEX + M,-3.816943770452817e-08
H2O + OHEX <=> H2O + OH,-4.972084719123189e-10
H2 + OHEX <=> H2 + OH,-5.664591181591448e-11
N2 + OHEX <=> N2 + OH,-3.238027466512909e-11
OH + OHEX <=> 2 OH,-2.077877342050537e-12
H + OHEX <=> H + OH,-5.38524008855953e-13
AR + OHEX <=> AR + OH,0.0
OHEX => OH,-4.2543428291255175e-12
O2 + OHEX <=> O2 + OH,-1.2577400034888799e-12
CO2 + OHEX <=> CO2 + OH,-4.280928912461427e-11
CO + OHEX <=> CO + OH,-6.55920404486829e-11
CH3 + HCO <=> CH4 + CO,0.00044167175880194053
H + HCO (+M) <=> CH2O (+M),1.0211753937699013e-05
CH2O + H <=> H2 + HCO,0.001138892805938093
CH2O + O <=> HCO + OH,-0.00037225860387747427
CH2O + OH <=> H2O + HCO,-0.0007910028958609029
CH2O + O2 <=> HCO + HO2,-1.0020566830378972e-05
CH2O + HO2 <=> H2O2 + HCO,-1.4361019031939458e-05
CH4 + H <=> CH3 + H2,0.013748406893831541
CH4 + OH <=> CH3 + H2O,0.002879454958336199
CH4 + O <=> CH3 + OH,-0.0016646780909726111
CH4 + O2 <=> CH3 + HO2,4.316594332250558e-05
CH4 + HO2 <=> CH3 + H2O2,-6.595803964665523e-06
CH3 + H <=> H2 + T-CH2,-0.00013801222455996133
CH3 + H <=> H2 + S-CH2,-7.869804532519471e-05
CH3 + OH <=> H2O + S-CH2,-0.0016360245111140348
CH3 + O <=> CH2O + H,0.011105810775719496
CH3 + T-CH2 <=> C2H4 + H,0.00047555667578751213
CH3 + HO2 <=> CH3O + OH,-0.0005379335541183472
CH3 + O2 <=> CH2O + OH,-0.002546291714857634
CH3 + O2 <=> CH3O + O,-0.0002714929613419582
2 CH3 <=> C2H4 + H2,6.021854436409482e-06
2 CH3 <=> C2H5 + H,-0.00023591743408936497
CH3 + H (+M) <=> CH4 (+M),0.0009411958966647864
2 CH3 (+M) <=> C2H6 (+M),0.0017449411345847228
OH + S-CH2 <=> CH2O + H,3.206095886856289e-05
O2 + S-CH2 <=> CO + H + OH,-0.0006294891668098245
CO2 + S-CH2 <=> CH2O + CO,0.0002225362064146434
S-CH2 + M <=> T-CH2 + M,-0.0001182763445223841
H + T-CH2 <=> CH + H2,0.000569589680471751
OH + T-CH2 <=> CH2O + H,0.0005778098420578411
OH + T-CH2 <=> CH + H2O,4.377817025962223e-05
O + T-CH2 <=> CO + 2 H,0.00019107329092964227
O + T-CH2 <=> CO + H2,6.569203394174401e-05
O2 + T-CH2 <=> CO2 + H2,-0.000323964291761319
O2 + T-CH2 <=> CO + H + OH,-0.001903135213055054
2 T-CH2 <=> C2H2 + 2 H,3.696170534717901e-05
C2H2 + HO2 <=> CHCHO + OH,-1.3713001172589104e-06
CHCHO + O2 <=> CH2O + CO + O,-8.564090801719293e-10
CH + O <=> CO + H,-9.437254735461317e-07
CH + O2 <=> HCO + O,-0.00020247536974393016
CH + H2O <=> CH2O + H,0.0006961198966326567
CH + CO2 <=> CO + HCO,0.0008051922195294658
CH3O + H <=> CH2O + H2,3.5764166413544044e-06
CH3O + H <=> H2O + S-CH2,2.6702129899095057e-05
CH3O + OH <=> CH2O + H2O,1.0089255897097445e-07
CH3O + O <=> CH2O + OH,1.0813409811397173e-07
CH3O + O2 <=> CH2O + HO2,-5.300860299750139e-07
CH3O + M <=> CH2O + H + M,1.3093180724809565e-05
C2H6 + H <=> C2H5 + H2,0.0010305414662355494
C2H6 + O <=> C2H5 + OH,-0.00045296307454573977
C2H6 + OH <=> C2H5 + H2O,-7.87003898183782e-05
C2H6 + CH3 <=> C2H5 + CH4,-5.59347652086749e-05
C2H6 (+M) <=> C2H5 + H (+M),0.0001896038217446781
C2H6 + HO2 <=> C2H5 + H2O2,-1.3656814325640897e-06
C2H5 + H <=> C2H4 + H2,0.00017784801028754768
C2H5 + O <=> C2H4 + OH,8.68657646040377e-06
C2H5 + O <=> CH2O + CH3,3.579940586301369e-05
C2H5 + O2 <=> C2H4 + HO2,-6.673819812478494e-06
C2H5 + O2 <=> C2H4OOH,-3.033880068655443e-07
C2H4OOH <=> C2H4 + HO2,-4.75734917982118e-06
C2H4OOH + O2 <=> OC2H3OOH + OH,-3.721795159130463e-07
OC2H3OOH <=> CH2O + HCO + OH,2.5365382099865427e-09
C2H5 (+M) <=> C2H4 + H (+M),-0.0008954237815468294
C2H4 + H <=> C2H3 + H2,0.0007418521190875898
C2H4 + OH <=> C2H3 + H2O,-0.00014385561658012856
C2H4 + O <=> CH3 + HCO,0.0006493329226358995
C2H4 + O <=> CH2CHO + H,0.00024010877691097894
2 C2H4 <=> C2H3 + C2H5,1.0806645093607519e-05
C2H4 + O2 <=> C2H3 + HO2,1.6917961050697735e-06
C2H4 + HO2 <=> C2H4O + OH,8.551088417050069e-06
C2H4O + HO2 <=> CH3 + CO + H2O2,-2.5442303830379407e-08
C2H4 + M <=> C2H3 + H + M,1.9506855513128075e-05
C2H4 + M <=> C2H2 + H2 + M,2.5454127987269184e-05
C2H3 + H <=> C2H2 + H2,0.0006710372545662013
C2H3 (+M) <=> C2H2 + H (+M),0.00039362766100133187
C2H3 + O2 <=> CH2O + HCO,7.289494924190493e-05
C2H3 + O2 <=> CH2CHO + O,-0.0015627383378907286
C2H3 + O2 <=> C2H2 + HO2,-3.25700445280378e-05
C2H2 + O <=> H + HCCO,-0.0006372890579094135
C2H2 + O <=> CO + T-CH2,0.00014148900428035159
C2H2 + O2 <=> CH2O + CO,1.0788539593147497e-06
C2H2 + OH <=> CH2CO + H,0.0015974796631925369
C2H2 + OH <=> C2H + H2O,-8.570334695076612e-06
CH2CO + H <=> CH3 + CO,3.802984751444207e-05
CH2CO + O <=> CO2 + T-CH2,-0.0001464654300979971
CH2CO + O <=> HCCO + OH,-9.16378871815572e-05
CH2CO + CH3 <=> C2H5 + CO,-2.6836323262361742e-05
H + HCCO <=> CO + S-CH2,0.0003611548818636179
HCCO + OH <=> CO + H + HCO,7.276479104065681e-06
HCCO + O <=> 2 CO + H,3.040718455440795e-05
HCCO + O2 <=> 2 CO + OH,4.240573837919405e-05
HCCO + O2 <=> CO + CO2 + H,-8.565865587355742e-05
C2H + OH <=> H + HCCO,-5.874523354457245e-07
C2H + O <=> CH + CO,1.1574735258992841e-07
C2H + O2 <=> HCCO + O,-3.3315078431125694e-06
C2H + O2 <=> CH + CO2,-1.3745535013404008e-05
C2H + O2 <=> CO + HCO,2.80174424509764e-06
CH2OH + H <=> CH2O + H2,-3.43238722133329e-05
CH3 + OH <=> CH2OH + H,0.008310000996437993
CH2OH + OH <=> CH2O + H2O,-3.055900813731754e-05
CH2OH + O2 <=> CH2O + HO2,-0.00026702500907096436
CH2OH (+M) <=> CH2O + H (+M),0.0021405407262002386
CH3O + M <=> CH2OH + M,2.937551816656761e-05
CH2CO + OH <=> CH2OH + CO,0.00044202151443039045
CH3OH + OH <=> CH2OH + H2O,-1.4220646452377275e-05
CH3OH + OH <=> CH3O + H2O,1.865571670884329e-05
CH3OH + H <=> CH2OH + H2,0.00010385504890327653
CH3OH + H <=> CH3O + H2,2.0676148097488035e-05
CH3OH + O <=> CH2OH + OH,-6.818671763493049e-05
CH3OH + HO2 <=> CH2OH + H2O2,-1.963395492258574e-06
CH3OH + O2 <=> CH2OH + HO2,3.682312554299209e-08
CH3OH (+M) <=> CH3 + OH (+M),0.001956369576409392
CH2CHO <=> CH2CO + H,-4.809243573534923e-06
CH2CHO + H <=> CH3 + HCO,1.0966233053500717e-06
CH2CHO + H <=> CH2CO + H2,3.28624268339881e-06
CH2CHO + O <=> CH2O + HCO,1.3202432360860943e-06
CH2CHO + OH <=> CH2CO + H2O,1.1470987404884052e-06
CH2CHO + O2 <=> CH2O + CO + OH,-1.8787253637834272e-06
CH2CHO + CH3 <=> C2H5 + CO + H,-4.999803770026659e-06
CH2CHO + HO2 <=> CH2O + HCO + OH,-1.1783923820297517e-07
CH2CHO + HO2 <=> CH3CHO + O2,7.589558391074719e-08
CH2CHO <=> CH3 + CO,2.6042984722782823e-06
CH3CHO <=> CH3 + HCO,3.9412509512577435e-05
CH3CO (+M) <=> CH3 + CO (+M),6.126746711371119e-11
CH3CHO + OH <=> CH3CO + H2O,2.9930318242313965e-06
CH3CHO + OH <=> CH2CHO + H2O,2.1256859154828517e-07
CH3CHO + O <=> CH3CO + OH,2.4582411873743417e-08
CH3CHO + O <=> CH2CHO + OH,-7.941307528855022e-08
CH3CHO + H <=> CH3CO + H2,7.1542891693003285e-06
CH3CHO + H <=> CH2CHO + H2,1.834643808438853e-05
CH3 + CH3CHO <=> CH3CO + CH4,3.2197292017227006e-06
CH3 + CH3CHO <=> CH2CHO + CH4,7.523914931135084e-08
CH3CHO + HO2 <=> CH3CO + H2O2,-3.626799775019897e-08
CH3CHO + HO2 <=> CH2CHO + H2O2,-2.989678537983711e-08
CH3CHO + O2 <=> CH3CO + HO2,-4.7911823029361655e-08
C2H5OH (+M) <=> CH2OH + CH3 (+M),6.234028426234558e-07
C2H5OH (+M) <=> C2H4 + H2O (+M),-6.28368471460965e-07
C2H5OH + OH <=> CH2CH2OH + H2O,-7.895568167651212e-08
C2H5OH + OH <=> CH3CHOH + H2O,4.328769634497441e-08
C2H5OH + OH <=> CH3CH2O + H2O,4.363688198511086e-07
C2H5OH + H <=> CH2CH2OH + H2,5.9351281585131095e-08
C2H5OH + H <=> CH3CHOH + H2,3.069668000355154e-07
C2H5OH + H <=> CH3CH2O + H2,4.421769541471606e-07
C2H5OH + O <=> CH2CH2OH + OH,-1.3296533058072447e-07
C2H5OH + O <=> CH3CHOH + OH,-1.421219147925825e-07
C2H5OH + O <=> CH3CH2O + OH,2.2852535983809815e-07
C2H5OH + CH3 <=> CH2CH2OH + CH4,-9.243801416161816e-08
C2H5OH + CH3 <=> CH3CHOH + CH4,-1.927147186049038e-09
C2H5OH + CH3 <=> CH3CH2O + CH4,5.1282303686383695e-08
C2H5OH + HO2 <=> CH3CHOH + H2O2,-1.9285523845765668e-09
C2H5OH + HO2 <=> CH2CH2OH + H2O2,-1.3301927830873765e-09
C2H5OH + HO2 <=> CH3CH2O + H2O2,-6.636021229131584e-11
C2H4 + OH <=> CH2CH2OH,-8.835695263703792e-09
C2H5 + HO2 <=> CH3CH2O + OH,2.146155214510135e-06
CH3CH2O + M <=> CH3CHO + H + M,-9.883568924962621e-09
CH3CH2O (+M) <=> CH2O + CH3 (+M),6.768792149250568e-09
CH3CH2O + O2 <=> CH3CHO + HO2,-2.3133849385653897e-11
CH3CH2O + CO <=> C2H5 + CO2,7.950417286055579e-09
CH3CH2O + H <=> CH2OH + CH3,2.2672468421956083e-10
CH3CH2O + H <=> C2H4 + H2O,1.0605515912909119e-12
CH3CH2O + OH <=> CH3CHO + H2O,8.368700218769749e-13
CH3CHOH + O2 <=> CH3CHO + HO2,-1.7504427479741863e-07
CH3CHOH + O <=> CH3CHO + OH,1.1040587521718942e-08
CH3CHOH + H <=> C2H4 + H2O,-1.8067678775812923e-09
CH3CHOH + H <=> CH2OH + CH3,-3.0369510358111487e-07
CH3CHOH + HO2 <=> CH3CHO + 2 OH,-5.045077829558466e-09
CH3CHOH + OH <=> CH3CHO + H2O,3.925023945069202e-09
CH3CHOH + M <=> CH3CHO + H + M,1.1452875849198862e-07
C3H4 + O <=> C2H4 + CO,2.4016956279126917e-06
C2H2 + CH3 <=> C3H4 + H,5.39031369998587e-06
C3H4 + O <=> CH3 + HCCO,-7.528461835631532e-07
C3H3 + H (+M) <=> C3H4 (+M),4.164021425179128e-06
C3H3 + HO2 <=> C3H4 + O2,-2.52302503908167e-07
C3H4 + OH <=> C3H3 + H2O,1.3380541016531564e-06
C3H3 + O2 <=> CH2CO + HCO,-8.431302197863708e-07
C3H4 + H (+M) <=> C3H5 (+M),-7.170278661281956e-05
C3H5 + H <=> C3H4 + H2,1.623068424616748e-05
C3H5 + O2 <=> C3H4 + HO2,-4.0255927441989455e-08
C3H5 + CH3 <=> C3H4 + CH4,-3.537970383831292e-07
C2H2 + CH3 (+M) <=> C3H5 (+M),-4.5337854621526905e-07
C3H5 + OH <=> C3H4 + H2O,1.9935926379397505e-07
C3H3 + HCO <=> C3H4 + CO,8.745876037732936e-08
C3H3 + HO2 <=> C2H3 + CO + OH,-9.307505520131791e-08
C3H4 + O2 <=> CH3 + CO + HCO,-2.5520428723153365e-07
C3H6 + O <=> C2H5 + HCO,-1.546412479693848e-05
C3H6 + OH <=> C3H5 + H2O,4.712679586793486e-05
C3H6 + O <=> CH2CO + CH3 + H,4.271376374085391e-06
C3H6 + H <=> C3H5 + H2,0.0001943602037223355
C3H5 + H (+M) <=> C3H6 (+M),0.00010547129997195456
C3H5 + HO2 <=> C3H6 + O2,-3.766231346486266e-07
C3H5 + HO2 <=> C2H3 + CH2O + OH,-1.3278462713215338e-06
C2H3 + CH3 (+M) <=> C3H6 (+M),0.0006107124965168672
C3H6 + H <=> C2H4 + CH3,-6.819614524554895e-05
C2H3 + CH3 <=> C3H5 + H,0.00012184449423936862
C3H8 (+M) <=> C2H5 + CH3 (+M),4.7321014634924616e-05
C3H8 + O2 <=> HO2 + I-C3H7,1.5336060376386599e-09
C3H8 + O2 <=> HO2 + N-C3H7,-1.4241401215408384e-10
C3H8 + H <=> H2 + I-C3H7,4.833450842184381e-06
C3H8 + H <=> H2 + N-C3H7,1.344531907066724e-06
C3H8 + O <=> I-C3H7 + OH,-3.152302448270313e-07
C3H8 + O <=> N-C3H7 + OH,-1.228627362693902e-06
C3H8 + OH <=> H2O + N-C3H7,-6.566774320088602e-07
C3H8 + OH <=> H2O + I-C3H7,-1.7777931366081473e-15
C3H8 + HO2 <=> H2O2 + I-C3H7,-6.319840892286014e-09
C3H8 + HO2 <=> H2O2 + N-C3H7,-1.0208364225006444e-08
C3H8 + I-C3H7 <=> C3H8 + N-C3H7,-4.030204812528437e-13
C3H6 + H (+M) <=> I-C3H7 (+M),-1.1210089931524639e-08
I-C3H7 + O2 <=> C3H6 + HO2,1.6042487736040864e-07
N-C3H7 (+M) <=> C2H4 + CH3 (+M),-4.2551724304995135e-07
C3H6 + H (+M) <=> N-C3H7 (+M),-8.676936461612506e-07
N-C3H7 + O2 <=> C3H6 + HO2,1.5450537385497427e-07
N-C3H7 + O2 <=> C3H6OOH,-4.579594494003671e-10
C3H6OOH <=> C3H6 + HO2,9.116519273780286e-09
C3H6OOH + O2 <=> OC3H5OOH + OH,-1.1525083759732514e-08
OC3H5OOH <=> CH2CHO + CH2O + OH,-3.7741372797019174e-10
C4H10 (+M) <=> 2 C2H5 (+M),5.785634434489027e-07
C4H10 + O2 <=> HO2 + PC4H9,-2.7262134110972635e-12
C4H10 + O2 <=> HO2 + SC4H9,-2.862724904468555e-13
C4H10 + HO2 <=> H2O2 + PC4H9,-1.0565114968395396e-10
C4H10 + HO2 <=> H2O2 + SC4H9,-9.044495036310476e-11
C4H10 + O <=> OH + PC4H9,-6.2908811604620266e-09
C4H10 + O <=> OH + SC4H9,4.160466911433872e-09
C4H10 + OH <=> H2O + PC4H9,-9.700369373945804e-09
C4H10 + OH <=> H2O + SC4H9,2.0216945607858117e-08
C4H10 + H <=> H2 + PC4H9,-5.1785830873284335e-08
