,base_case
H2 + M <=> 2 H + M,-0.0330191076922189
H2 + O <=> H + OH,-0.03679491841435432
H2 + OH <=> H + H2O,-0.04723967293709873
2 O + M <=> O2 + M,-0.000263373692744377
H + O2 <=> O + OH,0.5125440152795604
H + OH + M <=> H2O + M,-0.2790917741269712
H2O + O <=> 2 OH,-0.011412436870924803
H + O + M <=> OH + M,-0.009899334533056334
H2O2 (+M) <=> 2 OH (+M),-0.006497936448128145
H + H2O2 <=> H2O + OH,-0.0067644727030002705
H + H2O2 <=> H2 + HO2,-0.006355927031487725
H2O2 + O <=> HO2 + OH,-0.00636492672427637
H2O2 + OH <=> H2O + HO2,-0.0064036664504440385
H2O2 + OH <=> H2O + HO2,-0.006419745274858689
H + HO2 <=> 2 OH,-0.019618989244722027
H + HO2 <=> H2 + O2,-0.0869607721204258
HO2 + O <=> O2 + OH,-0.024114503068690323
HO2 + OH <=> H2O + O2,-0.022419874128368805
HO2 + OH <=> H2O + O2,-0.022221569696195907
2 HO2 <=> H2O2 + O2,-0.01418668313024807
2 HO2 <=> H2O2 + O2,-0.013589720950929604
H + O2 (+M) <=> HO2 (+M),-0.20828142416239717
CO + O (+M) <=> CO2 (+M),-0.024915379132588972
CO + OH <=> CO2 + H,0.018195186223475247
CO + OH <=> CO2 + H,0.00394444917076141
CO + HO2 <=> CO2 + OH,0.00023222074205047195
CO + O2 <=> CO2 + O,-0.00016372404243730253
CO2 + H <=> OCHO,-0.0007622180918563789
HOCO <=> CO + OH,-0.0013384200875702526
HOCO <=> CO2 + H,-0.0018652497663927963
CH3 + H (+M) <=> CH4 (+M),-3.2889102901671645
CH4 + H <=> CH3 + H2,-0.10915979168821653
CH4 + O <=> CH3 + OH,-0.02728899491270201
CH4 + OH <=> CH3 + H2O,-0.08209980116370784
CH4 + HO2 <=> CH3 + H2O2,-0.013206349980891166
CH3O2 + CH4 <=> CH3 + CH3O2H,-0.012648194954976785
CH3 + HO2 <=> CH4 + O2,-0.023168663527891615
CH2 + CH4 <=> 2 CH3,-0.014381515310971501
CH2(S) + N2 <=> CH2 + N2,-0.006669710240085442
AR + CH2(S) <=> AR + CH2,-0.004134747663806419
CH2(S) + H2O <=> CH2 + H2O,-0.005605714738007996
CH2(S) + CO <=> CH2 + CO,-0.004201961877819268
CH2(S) + CO2 <=> CH2 + CO2,-0.004304477971157591
CH2(S) + O2 => CO + H + OH,0.020433601748461733
CH2(S) + O2 <=> CO + H2O,-0.024076894784943167
CH2(S) + O <=> CO + H2,-0.01505300463255827
CH2(S) + O <=> H + HCO,-0.01430490048189631
CH2(S) + H2 <=> CH3 + H,0.008210294521531264
CH2(S) + H <=> CH + H2,-0.0010363356639721477
CH2(S) + OH <=> CH2O + H,-0.0004075561871202311
CH2(S) + CO2 <=> CH2O + CO,0.0042470020949037695
CH2 + H (+M) <=> CH3 (+M),-0.007490490307427879
CH2 + O2 <=> HCO + OH,0.07390189461665692
CH2 + O2 => CO2 + 2 H,0.039489734678193084
CH2 + O => CO + 2 H,0.004048794339964713
CH2 + H <=> CH + H2,-0.024335862456136864
CH2 + OH <=> CH + H2O,-0.01891848481613904
CH + O2 <=> HCO + O,0.005618015101173223
CH + O <=> CO + H,-0.0010511431284706547
CH + H <=> C + H2,-0.01820638038509386
CH + OH <=> H + HCO,-0.012188079792978403
CH + H2O <=> CH2O + H,0.0003967692482643856
CH + CO2 <=> CO + HCO,-0.00805175812490679
C + OH <=> CO + H,-0.00803196168005068
C + O2 <=> CO + O,-0.006720192962765424
CH3 + O2 (+M) <=> CH3O2 (+M),-0.009203841991590826
CH3 + O2 <=> CH3O + O,0.00022812973418759945
CH3 + O2 <=> CH2O + OH,0.015505087794141647
CH3 + O <=> CH2O + H,0.14911198278236687
CH3 + OH <=> CH2(S) + H2O,0.016262565597462142
CH3 + OH <=> CH2O + H2,0.0003679269672529379
CH3 + OH <=> CH2OH + H,0.419866252379954
CH3 + OH <=> CH3O + H,0.007985839431518753
CH3 + OH <=> CH2 + H2O,0.0012649874698151128
CH3 + HO2 <=> CH3O + OH,0.09914286296769416
CH3O2 + O <=> CH3O + O2,1.63172651671854e-05
CH3O2 + H <=> CH3O + OH,-0.0007603905340338396
CH3O2 + OH <=> CH3OH + O2,-0.00105328103640893
CH3O2 + HO2 <=> CH3O2H + O2,-0.0016778215795958795
CH3O2 + H2O2 <=> CH3O2H + HO2,-0.002169627765743794
CH3 + CH3O2 <=> 2 CH3O,-0.0023926614704709538
2 CH3O2 => CH2O + CH3OH + O2,-0.0027779242747540916
2 CH3O2 => 2 CH3O + O2,-0.0031459443890338784
CH3O2 + H2 <=> CH3O2H + H,-0.003508026432770998
CH3O2H <=> CH3O + OH,-0.0038415288288817123
CH3OH (+M) <=> CH3 + OH (+M),-0.05272367694029323
CH3OH (+M) <=> CH2(S) + H2O (+M),-0.026591991834217444
CH3OH (+M) <=> CH2OH + H (+M),-0.014581615802647127
CH3OH + H <=> CH3O + H2,-0.009185651115524851
CH3OH + H <=> CH2OH + H2,-0.01033872147756715
CH3OH + O <=> CH3O + OH,-0.010117118566208694
CH3OH + O <=> CH2OH + OH,-0.010600885596541921
CH3OH + OH <=> CH3O + H2O,-0.009329598994213572
CH3OH + OH <=> CH2OH + H2O,-0.010121621119243694
CH3OH + O2 <=> CH3O + HO2,-0.009310285056432508
CH3OH + O2 <=> CH2OH + HO2,-0.009243688691528066
CH3OH + HO2 <=> CH3O + H2O2,-0.009076101840203531
CH3OH + HO2 <=> CH2OH + H2O2,-0.008909458757723369
CH3 + CH3OH <=> CH2OH + CH4,-0.008787927588302137
CH3 + CH3OH <=> CH3O + CH4,-0.008608284143665554
CH3OH + HCO <=> CH2O + CH2OH,-0.008488269647418348
CH3O + CH3OH <=> CH2OH + CH3OH,-0.008374754685069622
CH3O2 + CH3OH <=> CH2OH + CH3O2H,-0.008270929321911315
CH2OH + O2 <=> CH2O + HO2,-0.00854697565949874
CH2OH + O2 <=> CH2O + HO2,-0.1107570108000916
CH2OH + H <=> CH2O + H2,-0.018134250929587856
CH2OH + HO2 <=> CH2O + H2O2,-0.014395122063267261
CH2OH + HCO <=> 2 CH2O,-0.013787679803467467
CH2OH + HCO <=> CH3OH + CO,-0.013206136722095856
CH2OH + CH3O <=> CH2O + CH3OH,-0.012672523015801438
CH2OH + OH <=> CH2O + H2O,-0.013835346183683523
CH2OH + O <=> CH2O + OH,-0.012679083292182456
2 CH2OH <=> CH2O + CH3OH,-0.011923326093687153
CH3O + O2 <=> CH2O + HO2,-0.01365096336027174
CH3O + H <=> CH2O + H2,-0.011847915510125678
CH3O + HO2 <=> CH2O + H2O2,-0.011407936049890733
CH3 + CH3O <=> CH2O + CH4,-0.011123707262079363
2 CH3O <=> CH2O + CH3OH,-0.010765536324679376
H + HCO (+M) <=> CH2O (+M),-0.010403395146615793
CO + H2 (+M) <=> CH2O (+M),-0.010120313176767863
CH2O + O2 <=> HCO + HO2,-0.009915922674108315
CH2O + O <=> HCO + OH,-0.01525888912240742
CH2O + H <=> H2 + HCO,-0.007621119844243128
CH2O + OH <=> H2O + HCO,-0.02028451490679468
CH2O + HO2 <=> H2O2 + HCO,-0.013751969831066588
CH2O + CH3 <=> CH4 + HCO,-0.01406785941724106
CH2O + OCHO <=> HCO + HOCHO,-0.011631701910169007
CH2O + CH3O <=> CH3OH + HCO,-0.011170657650717675
CH2O + CH3O2 <=> CH3O2H + HCO,-0.010813720410607143
HCO + M <=> CO + H + M,0.37512482375332534
HCO + O2 <=> CO + HO2,-0.2149693532672695
HCO + O <=> CO + OH,-0.020249447746766392
H + HCO <=> CO + H2,-0.189298960477644
HCO + OH <=> CO + H2O,-0.04884144550018097
CH3 + HCO <=> CH4 + CO,-0.046539241838381776
2 HCO <=> CH2O + CO,-0.015052931287702766
HCO + O <=> CO2 + H,-0.015896861754938846
HCO + HO2 => CO2 + H + OH,-0.014307412383180305
2 HCO => 2 CO + H2,-0.013436183818480867
CH2O + H (+M) <=> CH2OH (+M),0.18924234998164807
CH3O (+M) <=> CH2O + H (+M),0.016463292253316185
HOCHO <=> CO + H2O,-0.000223881979562898
HOCHO <=> CO2 + H2,-0.00084696567371262
HO2 + OCHO <=> HOCHO + O2,-0.0014138159144005172
H2O2 + OCHO <=> HO2 + HOCHO,-0.0019299853227619957
HOCHO + H => CO2 + H2 + H,-0.0024007726804553815
H + HOCHO => CO + H2 + OH,-0.002827222708426279
HOCHO + O => CO + 2 OH,-0.003217857625628603
HOCHO + OH => CO2 + H + H2O,-0.0035739721811518
HOCHO + OH => CO + H2O + OH,-0.003896021157836591
CH3 + HOCHO => CH4 + CO + OH,-0.004190564741400288
HO2 + HOCHO => CO + H2O2 + OH,-0.00445869274997657
OCHO + OH <=> HO2CHO,-0.0047028896365353115
2 CH3 (+M) <=> C2H6 (+M),0.02795563432099536
C2H5 + H (+M) <=> C2H6 (+M),-0.0023588596637065854
C2H6 + O2 <=> C2H5 + HO2,-0.0028196039265623377
C2H6 + O <=> C2H5 + OH,-0.010023991144742842
C2H6 + H <=> C2H5 + H2,-0.009526974408635066
C2H6 + OH <=> C2H5 + H2O,-0.0212782627975706
C2H6 + HO2 <=> C2H5 + H2O2,-0.013919101534204153
C2H6 + CH <=> C2H5 + CH2,-0.013305582301937081
C2H6 + CH2(S) <=> C2H5 + CH3,-0.012757486963713304
C2H6 + CH3 <=> C2H5 + CH4,-0.012912027036855662
C2H6 + CH3O <=> C2H5 + CH3OH,-0.011855980368992885
C2H6 + CH3O2 <=> C2H5 + CH3O2H,-0.011401900169554608
C2H5O2 + C2H6 <=> C2H5 + C2H5O2H,-0.011024926158403616
C2H4 + H (+M) <=> C2H5 (+M),0.11552948416918078
C2H5 + H <=> C2H4 + H2,-0.0011789449512161821
2 C2H4 <=> C2H3 + C2H5,-0.0017177406602100719
C2H5 + CH3 <=> C2H4 + CH4,-0.0024146462973317663
C2H5 + O <=> CH3CHO + H,-0.004491804056339642
C2H5 + HO2 <=> C2H5O + OH,-0.004917322723899352
C2H5 + CH3O2 <=> C2H5O + CH3O,-0.005164309555697877
2 CH3 <=> C2H5 + H,-0.03212332733619237
C2H5 + O2 <=> C2H5O2,-0.014674413841455658
C2H5 + O2 <=> C2H4O2H,-0.01401036505706421
C2H5 + O2 <=> C2H4 + HO2,-0.01406850561110466
C2H5 + O2 <=> C2H4O1-2 + OH,-0.012928946361914297
C2H5 + O2 <=> CH3CHO + OH,-0.01241770137150959
C2H4O2H <=> C2H5O2,-0.011938834744920513
C2H5O2 <=> CH3CHO + OH,-0.011516137720125157
C2H5O2 <=> C2H4 + HO2,-0.01114252891352108
C2H5O2 <=> C2H4O1-2 + OH,-0.010777019861979329
C2H4O2H <=> C2H4O1-2 + OH,-0.010457298016932398
C2H4O2H <=> C2H4 + HO2,-0.010166749321751423
C2H4O2H <=> CH3CHO + OH,-0.009902133446714525
C2H5O2 + H2 <=> C2H5O2H + H,-0.009661148783657397
C2H5O2 + HO2 <=> C2H5O2H + O2,-0.009441205619853295
C2H5O2 + CH2O <=> C2H5O2H + HCO,-0.009241269565304158
C2H5O2 + CH4 <=> C2H5O2H + CH3,-0.009058880128092174
C2H5O2 + CH3OH <=> C2H5O2H + CH2OH,-0.00889284429765574
C2H5O2H <=> C2H5O + OH,-0.008741709705944982
C2H4O1-2 <=> CH3 + HCO,-0.008601008824954808
C2H4O1-2 <=> CH3CHO,-0.00847654319936031
C2H4O1-2 + H <=> C2H3O1-2 + H2,-0.008363678393733703
C2H4O1-2 + OH <=> C2H3O1-2 + H2O,-0.008260410031115887
C2H4O1-2 + HO2 <=> C2H3O1-2 + H2O2,-0.008165545519334197
C2H4O1-2 + CH3 <=> C2H3O1-2 + CH4,-0.008079057488106202
C2H4O1-2 + CH3O <=> C2H3O1-2 + CH3OH,-0.00800024171429784
C2H4O1-2 + CH3O2 <=> C2H3O1-2 + CH3O2H,-0.007928468411308008
C2H4O1-2 + C2H5O2 <=> C2H3O1-2 + C2H5O2H,-0.007863088015176453
C2H3O1-2 <=> CH3CO,-0.007801068787632615
