,base_case
2 O + M <=> O2 + M,-3.544620826201258e-08
H + O + M <=> OH + M,-3.4470571779045256e-08
H2 + O <=> H + OH,5.013103960150128e-07
HO2 + O <=> O2 + OH,-2.4872019815365905e-08
H2O2 + O <=> HO2 + OH,-3.0179376534273955e-08
CH + O <=> CO + H,-3.244856168482779e-08
CH2 + O <=> H + HCO,-3.248064347331161e-08
CH2(S) + O <=> CO + H2,-3.154644894428775e-08
CH2(S) + O <=> H + HCO,-2.997283364657411e-08
CH3 + O <=> CH2O + H,-8.061929564163979e-08
CH4 + O <=> CH3 + OH,5.206287176576562e-08
CO + O (+M) <=> CO2 (+M),-6.921985260696777e-09
HCO + O <=> CO + OH,-1.4546780807566399e-08
HCO + O <=> CO2 + H,-1.965968187534145e-08
CH2O + O <=> HCO + OH,-2.0485388990450087e-08
CH2OH + O <=> CH2O + OH,-1.6616603960715762e-08
CH3O + O <=> CH2O + OH,-1.8976377888179924e-08
CH3OH + O <=> CH2OH + OH,-1.9583383427377144e-08
CH3OH + O <=> CH3O + OH,-2.018623286257256e-08
C2H + O <=> CH + CO,-2.1371663283074953e-08
C2H2 + O <=> H + HCCO,-5.605619701226453e-09
C2H2 + O <=> C2H + OH,-1.259416216898933e-08
C2H2 + O <=> CH2 + CO,-2.5465485267886768e-09
C2H3 + O <=> CH2CO + H,-1.6818454857078332e-08
C2H4 + O <=> CH3 + HCO,-1.0218034150907191e-07
C2H5 + O <=> CH2O + CH3,-6.60085775206474e-08
C2H6 + O <=> C2H5 + OH,-1.4406759401110287e-08
HCCO + O <=> 2 CO + H,-9.450182623397269e-09
CH2CO + O <=> HCCO + OH,-1.258851748905565e-08
CH2CO + O <=> CH2 + CO2,-1.3779223422660617e-08
CO + O2 <=> CO2 + O,-1.6385731787985313e-08
CH2O + O2 <=> HCO + HO2,-1.7237566387850265e-08
H + O2 + M <=> HO2 + M,-2.347815303857832e-08
H + O2 + O2 <=> HO2 + O2,-1.8347067527219455e-08
H + O2 + H2O <=> HO2 + H2O,-1.1944756032948517e-07
H + O2 + N2 <=> HO2 + N2,-5.934134119062838e-08
H + O2 + AR <=> HO2 + AR,-3.8375320803293735e-08
H + O2 <=> O + OH,1.3239244325389047e-05
2 H + M <=> H2 + M,6.979551469134337e-09
2 H + H2 <=> H2 + H2,-2.0512576341269895e-10
2 H + H2O <=> H2 + H2O,-8.540722272057483e-09
2 H + CO2 <=> H2 + CO2,-1.0943462455219353e-08
H + OH + M <=> H2O + M,-3.0041379591085196e-08
H + HO2 <=> H2O + O,-3.354320088209312e-08
H + HO2 <=> H2 + O2,-5.441332839875697e-07
H + HO2 <=> 2 OH,-4.714451328195799e-07
H + H2O2 <=> H2 + HO2,-5.443925820062953e-08
H + H2O2 <=> H2O + OH,-4.777498711386681e-08
CH + H <=> C + H2,-4.8309290604551144e-08
CH2 + H (+M) <=> CH3 (+M),-4.181272843657746e-08
CH2(S) + H <=> CH + H2,-4.0347517192526857e-08
CH3 + H (+M) <=> CH4 (+M),-4.850875573049617e-06
CH4 + H <=> CH3 + H2,-9.014945290012273e-07
H + HCO (+M) <=> CH2O (+M),-5.1552349764168964e-08
H + HCO <=> CO + H2,-1.8464610246243472e-07
CH2O + H (+M) <=> CH2OH (+M),1.711132324021961e-08
CH2O + H (+M) <=> CH3O (+M),1.877565830952558e-08
CH2O + H <=> H2 + HCO,-1.4753597593237711e-08
CH2OH + H (+M) <=> CH3OH (+M),-2.989226000853345e-08
CH2OH + H <=> CH2O + H2,-3.045165493512551e-08
CH2OH + H <=> CH3 + OH,4.400443380530745e-07
CH2OH + H <=> CH2(S) + H2O,1.6548579613211205e-07
CH3O + H (+M) <=> CH3OH (+M),1.3774221807529508e-08
CH3O + H <=> CH2OH + H,3.467953211405847e-09
CH3O + H <=> CH2O + H2,-5.6755708614172335e-09
CH3O + H <=> CH3 + OH,-1.2725395023143637e-08
CH3O + H <=> CH2(S) + H2O,-1.7638481566430926e-08
CH3OH + H <=> CH2OH + H2,-2.1309857610383404e-08
CH3OH + H <=> CH3O + H2,-2.3228810615685136e-08
C2H + H (+M) <=> C2H2 (+M),-2.336074607767929e-08
C2H2 + H (+M) <=> C2H3 (+M),-4.0419552359022263e-08
C2H3 + H (+M) <=> C2H4 (+M),-3.9323329316965416e-08
C2H3 + H <=> C2H2 + H2,-1.1195624836357885e-07
C2H4 + H (+M) <=> C2H5 (+M),1.0218265058805744e-06
C2H4 + H <=> C2H3 + H2,1.282866408527207e-07
C2H5 + H (+M) <=> C2H6 (+M),-2.3474437553052355e-08
C2H5 + H <=> C2H4 + H2,-2.8250956186045488e-08
C2H6 + H <=> C2H5 + H2,-6.690218751546455e-08
H + HCCO <=> CH2(S) + CO,-8.016563724064085e-08
CH2CO + H <=> H2 + HCCO,-4.274080194136944e-08
CH2CO + H <=> CH3 + CO,-9.566805997925759e-08
H + HCCOH <=> CH2CO + H,-5.56743356056119e-08
CO + H2 (+M) <=> CH2O (+M),-4.7382086428103383e-08
H2 + OH <=> H + H2O,1.0221267337831228e-07
2 OH (+M) <=> H2O2 (+M),5.308901265294968e-08
2 OH <=> H2O + O,1.2113289027373434e-07
HO2 + OH <=> H2O + O2,-1.0058314716859733e-07
H2O2 + OH <=> H2O + HO2,-5.733940900858008e-08
H2O2 + OH <=> H2O + HO2,3.633603131965904e-08
C + OH <=> CO + H,1.1882908680130877e-08
CH + OH <=> H + HCO,3.0153189506480372e-09
CH2 + OH <=> CH2O + H,-5.336092188697012e-09
CH2 + OH <=> CH + H2O,-1.1687154990785278e-08
CH2(S) + OH <=> CH2O + H,-1.552278645736483e-08
CH3 + OH (+M) <=> CH3OH (+M),-4.248769639852047e-08
CH3 + OH <=> CH2 + H2O,2.649744946411633e-08
CH3 + OH <=> CH2(S) + H2O,4.5584862017346104e-07
CH4 + OH <=> CH3 + H2O,-5.55375783484592e-07
CO + OH <=> CO2 + H,7.425115351473954e-07
HCO + OH <=> CO + H2O,-4.3011913298690397e-08
CH2O + OH <=> H2O + HCO,-3.0071091566685474e-08
CH2OH + OH <=> CH2O + H2O,-2.4215164845361978e-08
CH3O + OH <=> CH2O + H2O,-2.3473079971802482e-08
CH3OH + OH <=> CH2OH + H2O,-2.4030712424491193e-08
CH3OH + OH <=> CH3O + H2O,-2.3754909075832955e-08
C2H + OH <=> H + HCCO,-2.4126898246905378e-08
C2H2 + OH <=> CH2CO + H,-2.2717050118913156e-08
C2H2 + OH <=> H + HCCOH,-2.4085742099540832e-08
C2H2 + OH <=> C2H + H2O,-2.3357566479488798e-08
C2H2 + OH <=> CH3 + CO,-2.3833732148577726e-08
C2H3 + OH <=> C2H2 + H2O,-2.5397070318057684e-08
C2H4 + OH <=> C2H3 + H2O,1.5128802088322987e-08
C2H6 + OH <=> C2H5 + H2O,-6.908480899842785e-09
CH2CO + OH <=> H2O + HCCO,-1.4084953101853315e-08
2 HO2 <=> H2O2 + O2,-1.6862266623905346e-08
2 HO2 <=> H2O2 + O2,-2.135165682255052e-08
CH2 + HO2 <=> CH2O + OH,-2.519164683945861e-08
CH3 + HO2 <=> CH4 + O2,-7.215040608975099e-08
CH3 + HO2 <=> CH3O + OH,1.4596775880642282e-06
CO + HO2 <=> CO2 + OH,-1.8962647263784287e-08
CH2O + HO2 <=> H2O2 + HCO,-2.100615239445806e-08
C + O2 <=> CO + O,-2.5918405335223497e-08
C + CH2 <=> C2H + H,-2.5420458823099342e-08
C + CH3 <=> C2H2 + H,-2.601783029886545e-08
CH + O2 <=> HCO + O,2.1025289526638276e-08
CH + H2 <=> CH2 + H,-2.045936868316087e-08
CH + H2O <=> CH2O + H,-2.9272178818350624e-08
CH + CH2 <=> C2H2 + H,-3.465311882272324e-08
CH + CH3 <=> C2H3 + H,-3.289209776948997e-08
CH + CH4 <=> C2H4 + H,-3.0446736680246585e-08
CH + CO (+M) <=> HCCO (+M),-2.7252383725119794e-08
CH + CO2 <=> CO + HCO,-2.7252788617773264e-08
CH + CH2O <=> CH2CO + H,-2.635209300152037e-08
CH + HCCO <=> C2H2 + CO,-2.6089401029670113e-08
CH2 + O2 => CO + H + OH,1.6428829038365025e-07
CH2 + H2 <=> CH3 + H,2.257919607901386e-08
2 CH2 <=> C2H2 + H2,9.522241607107588e-10
CH2 + CH3 <=> C2H4 + H,-6.059635360449045e-09
CH2 + CH4 <=> 2 CH3,-1.0656762730739775e-08
CH2 + CO (+M) <=> CH2CO (+M),2.5568256550223578e-09
CH2 + HCCO <=> C2H3 + CO,-1.1046305189200896e-09
CH2(S) + N2 <=> CH2 + N2,9.683210254077077e-08
AR + CH2(S) <=> AR + CH2,1.1129975065179857e-08
CH2(S) + O2 <=> CO + H + OH,9.274142442832709e-08
CH2(S) + O2 <=> CO + H2O,-1.268889633215475e-07
