,phi,grid,T_in,T,P,vel,blend,fuel,oxidizer,strain_t1,strain_t2,N2,AR,HE,H,O2,OH,O,H2,H2O,HO2,H2O2,CO,CO2,HCO,OHEX,CH3,CH4,CH2O,T-CH2,S-CH2,C2H4,CH3O,C2H5,C2H6,CH,C2H2,C2H4OOH,OC2H3OOH,C2H3,CH2CHO,C2H4O,HCCO,CH2CO,C2H,CH2OH,CH3OH,CH3CHO,CH3CO,C2H5OH,CH2CH2OH,CH3CHOH,CH3CH2O,C3H4,C3H3,C3H5,C3H6,C3H8,I-C3H7,N-C3H7,C3H6OOH,OC3H5OOH,C4H10,PC4H9,SC4H9,C4H8,SC4H9O2,C4H8OOH1-3,NC4KET13,CHCHO,N,NO,NO2,N2O,NH3,HNO,H2NO,NNH,NH2,NH,N2H2,N2H3,N2H4,H2NN,HONO,HNOH,HNO2,HONO2,NO3,HON,CN,HCN,HNC,H2CN,HCNH,NCN,HCNN,HNCN,NCO,HNCO,HOCN,HCNO
0,0.64987396,826,297.3401876,524.0008899,101391.381,0.286398527,0.2NH3,"CH4:0.612096943490917 , NH3:0.387903056509083","O2: 0.21, N2: 0.79",28.38711341703811,28.639852700000002,0.7344540095498895,2.7378614389089218e-15,2.7869962614245905e-15,5.971635914142198e-15,0.06421372593515533,9.345256489452769e-11,5.5167743540628994e-15,3.25721132909902e-06,0.14006834035916224,2.959206536769543e-14,1.3597435752440582e-07,1.253296642798568e-05,0.05634099545718237,7.102071891108372e-16,7.839231166345674e-16,8.403578155296386e-16,1.0856693454073153e-13,1.0329570657393019e-13,6.571303867538928e-16,7.836045056164871e-16,-7.399217191595098e-15,9.096767421911785e-16,7.045159463969487e-16,8.870037023278108e-16,7.79918224337802e-16,8.715146817680436e-16,6.09898978949355e-16,2.3809333344910774e-15,6.967638650505548e-16,6.681415341810764e-16,3.3005407249600325e-07,7.183959415251559e-16,6.427218427768775e-16,7.659430562312187e-16,7.582369813720176e-16,6.508153682804934e-14,1.1738301993597456e-15,5.648021329801973e-16,9.239397747496258e-16,6.71778538918136e-16,6.36304727013877e-16,7.168088182424816e-16,1.9561278654793427e-15,7.568457531928589e-16,1.7242086620014509e-15,7.158719042807289e-15,9.275519512626477e-16,5.923171598473444e-16,7.373093127318574e-16,4.3365708059212645e-16,7.632120308490864e-16,8.819349725972827e-16,7.451721886061632e-16,7.740083551569977e-16,1.0129846268981972e-15,5.276582984266353e-16,7.799404290377077e-16,2.3578781469421994e-16,6.983537845207853e-16,6.619834830982016e-16,0.004734170985499914,9.961109833146189e-05,1.2273829241647272e-05,1.5843904927374417e-13,1.0405285342174887e-09,1.5713566115814946e-14,7.843875035878147e-16,5.962617507211312e-16,7.734464973164956e-16,8.805149523443199e-16,9.42909633679066e-16,9.031241805015852e-16,7.704583653055388e-16,6.040516229762639e-05,1.0020643674758967e-15,2.2739002098259334e-11,2.336676647498893e-10,9.116346413013412e-16,1.907647222120897e-07,7.68469071591349e-16,6.215323714739666e-11,5.175497931297177e-14,6.857316698580738e-16,8.012581237108412e-16,9.43456016604115e-16,6.380246730896687e-16,9.306451741771085e-16,1.12468371552655e-11,1.9091206551152065e-08,9.673921592139095e-11,1.1473230075844938e-15
0,0.699533012,863,297.834618,540.7784952,101371.3827,0.327161046,0.2NH3,"CH4:0.612220808259477 , NH3:0.387779191740523","O2: 0.21, N2: 0.79",33.41643000377621,32.7161046,0.7305751872372555,4.594935454059304e-15,3.2500200317408065e-15,5.406419582476537e-14,0.05412901899816415,5.004757252564583e-10,4.3807358603525754e-14,4.6913373466994426e-06,0.14933387260827632,1.8591558839108078e-13,1.6678224777917657e-07,1.5338302104479245e-05,0.06001423036973591,4.0118118859663374e-17,2.0572677254362636e-16,-1.9384214244449118e-16,1.1293045798152688e-13,1.0364953819708647e-13,-6.816838149209271e-17,2.0495710483918307e-16,1.2685135913514212e-15,8.546931879976e-17,6.347987818257261e-19,7.70045039019611e-17,1.9519927995352946e-16,1.5179578883317295e-17,-9.0752817981033e-17,2.6002995242682074e-16,2.1665554137788606e-17,-1.5076121881220184e-16,3.2088490099756154e-07,8.631359223538816e-17,5.505096947360424e-16,1.645228124445437e-16,1.365914856640548e-16,6.884442934643263e-14,1.8691104766393614e-16,-1.6143080782262372e-16,9.23245758299966e-17,8.415702410871172e-17,-6.221054546335487e-17,1.1606013480073702e-16,-3.8136008311175383e-16,8.859662695812659e-18,-2.6785049653034397e-16,-2.5929786238800085e-15,9.464138307592102e-17,-1.6069675085907522e-16,8.729637698288481e-17,-4.484142429976581e-16,1.664633401410839e-15,1.2254320830333385e-16,1.0656500281295151e-16,1.745959312087693e-16,8.172617753694389e-16,8.731071004189485e-17,1.8450711572830424e-16,-3.427009019284989e-16,3.350755907526481e-17,1.7694813305586147e-18,0.005737928268766327,0.00011297335728276199,3.589670115227266e-07,4.2216386313974267e-14,1.9419615535211832e-09,5.671027372979528e-15,2.0617143275202814e-16,-1.4222887607384773e-16,2.514752236572591e-16,5.52880829664304e-17,1.596555818289551e-17,1.0913530504878888e-16,-1.811286934167078e-17,7.572924990875116e-05,1.6798113062277994e-16,2.5384807119555642e-11,1.4742451224319838e-10,5.038660059466993e-16,1.800487154647034e-07,1.6113040829958147e-16,1.5136852868067933e-12,1.5146624179009841e-15,5.899205859088276e-17,3.5644793733000625e-17,2.095488466612022e-17,1.4307144494766824e-17,2.3755583911284384e-17,8.374665651775178e-13,9.683610053593645e-10,1.6948139370879515e-12,2.1633797894428663e-16
0,0.749940011,831,297.8464894,558.4945964,101371.3827,0.385745402,0.2NH3,"CH4:0.612139067809774 , NH3:0.387860932190226","O2: 0.21, N2: 0.79",40.49026218552467,38.5745402,0.7268051567907629,-2.222078824327887e-16,-1.8303338110336185e-16,8.450680075512715e-13,0.043767455310823496,2.936719767781142e-09,5.061450344402077e-13,9.13720153285388e-06,0.1587190447257416,1.653717656200974e-12,2.3391317385856697e-07,2.7923158620468763e-05,0.06385077218380797,-8.96172181855733e-16,-1.1544241042920202e-15,1.4050658589700788e-16,1.0769378419446461e-13,1.1153188911370506e-13,-6.925197874828425e-16,-1.1535417100712141e-15,-1.8388702497339233e-15,-3.4943797019746444e-16,-7.064976705311451e-16,-2.7153737966381194e-16,-1.1408070406955653e-15,-3.917055919289971e-16,-7.662544904073783e-16,2.00217112153281e-15,-8.328795501170834e-16,-3.8217738503555865e-16,3.2064567731483785e-07,-9.930458689106016e-16,-7.900532287576939e-17,-1.1019287488728595e-15,-1.0359329764723196e-15,7.798279294103956e-14,1.2071944184209712e-16,-6.355912135368193e-16,-2.754630984748965e-16,-5.818949453661597e-16,-7.123347790686526e-16,-1.0797481164157586e-15,-4.312717590707002e-16,-4.373360058517727e-16,-3.576538848237476e-16,-4.647006707935854e-16,-2.6310869154962583e-16,-5.144858462164775e-16,-9.230344345568023e-16,1.6859304232748284e-17,-1.8167937441469547e-16,-2.675386760011044e-16,-9.748216000098103e-16,-1.102781849400319e-15,1.4059008761124422e-15,4.2065455720784463e-16,-1.0979970854642981e-15,-2.3579714087481063e-16,-8.705103336174392e-16,-8.586795173009344e-16,0.0065904058571131015,0.00013059962082994384,2.423352397945348e-07,9.648385742907754e-14,4.770803614661461e-09,1.123578956495479e-14,-1.154495213382413e-15,-5.902290295593548e-16,1.9613233108319678e-16,-3.4310012333389443e-16,-1.9995900171903962e-16,-3.7753835460605486e-16,-4.274129829213296e-16,9.852915729194118e-05,-1.950164306303322e-16,2.3551145391145582e-11,8.387640283497018e-11,-2.2029645388197068e-17,1.712446840185867e-07,-1.0798799345553752e-15,8.97259240024957e-13,5.708776862571661e-16,-4.583006207402121e-16,-3.7607053843911304e-16,-3.0518610487220443e-16,-2.533760819118619e-16,-2.8232388152897086e-16,4.8267703572479826e-14,3.5185676683198293e-11,2.346933413498617e-13,8.91421949348625e-16
0,0.799922992,805,297.7412027,581.1211762,101371.3827,0.455036467,0.2NH3,"CH4:0.612068498620634 , NH3:0.387931501379366","O2: 0.21, N2: 0.79",48.94465099727108,45.5036467,0.7231922787924324,6.665008083411747e-15,5.202565831570195e-15,1.4496163247483092e-11,0.033559480011794506,1.68370608122298e-08,6.320733807459185e-12,1.97454922866384e-05,0.16800906049385758,1.5723445245781322e-11,3.365343630213739e-07,5.6582391316698197e-05,0.06761927424251638,6.344189431448424e-16,4.950554525771427e-16,5.382884872654313e-16,9.735872724874561e-14,1.0722420379599735e-13,6.97616161536831e-16,4.95727451109828e-16,-1.9608749285053604e-15,4.939137432043991e-16,6.509339862008906e-16,2.4461045553724264e-16,5.064616844568504e-16,9.564971899550712e-17,5.809656748698575e-16,1.4546202222862695e-16,6.181555741826465e-16,5.336711568512387e-16,3.274515098172481e-07,5.716579285055971e-16,8.509658499147116e-17,5.290722081150669e-16,5.7129392239175255e-16,8.848191395119714e-14,-7.183200325285602e-17,6.28957090549763e-16,2.5769134054870523e-16,4.434183438220332e-16,6.289846869203016e-16,5.230019821588099e-16,3.646718291747074e-16,4.390394263267096e-16,3.9098027090070264e-16,6.566300013773671e-16,2.5589693640622334e-16,6.103440500833092e-16,5.884094848088789e-16,6.121208324394963e-16,-3.811911220026108e-16,2.7483344386233093e-16,5.964071996178515e-16,5.380132149344108e-16,-3.448367241869474e-16,3.5418409052714947e-16,5.496562179305477e-16,2.219361284023571e-18,6.102183312516464e-16,6.044964443902808e-16,0.007274003320364848,0.0001414868150793826,2.8084320880654806e-07,2.769339641081802e-13,1.3413356895664348e-08,2.54337387069618e-14,4.955574089205579e-16,6.251747170730016e-16,8.12385190456743e-15,2.639723403602728e-16,2.1015007651835173e-16,3.031585416865506e-16,4.788236166793019e-16,0.00012694952500952116,1.02113955101679e-15,1.852597333032641e-11,4.878893952859687e-11,4.197837701457253e-15,1.6372448010160108e-07,5.514999574075731e-16,9.538589187831792e-13,1.3111644070785223e-15,3.6059379508647317e-16,4.999098014069532e-16,2.321046451116854e-16,3.566873364547801e-16,2.2894465023600616e-16,1.225231546273069e-14,5.771310417826642e-12,1.2727042625242035e-13,1.19991417996713e-16
0,0.850677808,810,296.9081258,586.2950378,101191.398,0.524104857,0.2NH3,"CH4:0.612064452990133 , NH3:0.387935547009867","O2: 0.21, N2: 0.79",57.44816444356752,52.410485699999995,0.7196078440189978,5.852444189710307e-14,5.0108880043298543e-14,1.8581389393765807e-10,0.02332793711431851,5.3406012242297195e-08,4.195107788691643e-11,4.779261320920823e-05,0.17726358875802198,1.0457929792238481e-10,4.952774856858627e-07,0.00012382975590745262,0.07154658718644936,-1.7337274837947958e-15,-2.25248315486252e-15,-3.8431125932086733e-16,8.447917109072987e-14,1.2391067650019926e-13,-2.1546865744041135e-15,-2.2520619807058836e-15,-3.726332180836452e-15,-9.160008148714718e-16,-2.2053006646116446e-15,-4.409319559293764e-16,-2.2289748717248506e-15,-2.9356603962528213e-16,-2.1784985803768665e-15,6.513917946541502e-16,-2.2242151453891476e-15,-1.242952889773292e-15,3.427019781371087e-07,-2.1637766398002983e-15,-8.048199108604104e-17,-2.1972947573774964e-15,-2.1688231230119548e-15,9.84321702327335e-14,1.2255138093708544e-15,-2.217749596936791e-15,-4.1311810320150185e-16,-5.817582645090805e-16,-2.238713860637386e-15,-2.210457377590248e-15,-7.646088974780186e-17,-6.934203861872718e-16,-3.1617774403389157e-16,2.0893066606320462e-15,-4.1748654566772193e-16,-1.931115403895357e-15,-2.0135177495651444e-15,-1.6491189624356333e-15,3.3707210868046904e-15,-4.2948648663819307e-16,-2.1898526451624586e-15,-2.1725900177454025e-15,-1.0321630217407831e-15,1.3308993802010427e-15,-2.186271089882175e-15,4.912121652472225e-15,-2.209829215293247e-15,-2.1806271080925594e-15,0.007783038986845754,0.00013373190896893335,3.4699045935529663e-07,9.955771951276292e-13,4.902830562029643e-08,6.092152467450977e-14,-2.243386246607772e-15,-2.1862168781609724e-15,5.861443152771058e-14,-4.007767116804002e-16,-4.647615650891041e-16,-4.0463719912122317e-16,-8.931475156216695e-16,0.00016420454988929994,1.791052029754886e-15,1.1210731480702963e-11,3.685667256252968e-11,8.422640129305793e-15,1.573145069291847e-07,-2.165875502212708e-15,1.0400201715143121e-12,7.496988062327288e-16,-3.723535035251248e-16,-1.2411377301744735e-15,-3.547644390442118e-16,-2.412853957440218e-17,-4.029743742295449e-16,2.0013338651801962e-14,5.623222667525954e-12,5.977025825700564e-14,3.64784328053767e-15
0,0.90046392,829,296.9777731,600.7585604,101191.398,0.565764681,0.2NH3,"CH4:0.612136651506036 , NH3:0.387863348493964","O2: 0.21, N2: 0.79",62.8541368150386,56.5764681,0.7161562005000794,1.0041028269109657e-14,1.0175742189680991e-14,5.794309588463565e-09,0.013512246623193643,1.9344946461895624e-07,3.382635455499346e-10,0.0001306950551231278,0.18635430917132723,1.5062136438585815e-09,6.783109430559842e-07,0.0002848033155815726,0.07517271694908402,4.3637362270137547e-14,1.3120151592438447e-15,2.327357698621509e-15,9.914346319870705e-14,1.2474617372549033e-13,1.6023954754769636e-15,1.3131370322689604e-15,2.9203696036448965e-15,1.6061043860193523e-15,1.4577468831334475e-15,1.4055025513372133e-15,1.3302663998243259e-15,1.5686361013643585e-15,1.3696813188198706e-15,1.3514085356618465e-15,1.457815059178819e-15,1.3072076125548395e-15,3.655521435828369e-07,1.4119662032203034e-15,1.5441295638481986e-15,1.3575033124450717e-15,1.4568442824227335e-15,1.2721270082505305e-13,1.376768111061151e-15,1.47152344563666e-15,1.411480448596942e-15,1.2635359842061637e-15,1.4492714485568655e-15,1.3348197334336373e-15,1.5663765563657693e-15,1.3804892686883316e-15,1.4744003913230943e-15,2.001701273455639e-15,1.421948173669307e-15,1.3668856788568323e-15,1.3603505368725397e-15,1.3627531798013364e-15,1.2259614246909993e-15,1.4012586167481174e-15,1.4541891878130717e-15,1.416894691335147e-15,1.611303445499595e-15,1.0147948684828755e-15,1.412965492657167e-15,7.220432914888086e-16,1.470203457630185e-15,1.464084138697523e-15,0.008089247837308475,8.998258134423696e-05,5.09444481312476e-07,4.915902632186921e-12,2.87434645638743e-07,1.5248634599719327e-13,1.6068795091654259e-15,1.4781750435151313e-15,9.378239752213831e-13,1.4370719033201274e-15,1.316422382583342e-15,1.343029189398053e-15,1.3030439285988062e-15,0.00020760413977940383,1.1969662404589024e-14,4.481034345004226e-12,3.458640281975739e-11,4.533138008919839e-14,1.5194293227442885e-07,1.4355368970053452e-15,1.2278253585717156e-12,2.764881750898113e-15,1.323763961187821e-15,1.3119203148503343e-15,1.4249052650465442e-15,1.2903808819199548e-15,1.41453035009608e-15,3.075883884381127e-14,6.87314084125107e-12,2.2112402365222123e-14,1.899170942834685e-15
0,0.949716489,864,297.0730954,617.3071041,101191.398,0.637668324,0.2NH3,"CH4:0.612254497862018 , NH3:0.387745502137982","O2: 0.21, N2: 0.79",71.50157832113518,63.76683239999999,0.7125635403071221,3.779851862557615e-17,-2.008555127808346e-15,1.488051686794516e-06,0.0042610434298935,1.7807632120549512e-06,4.017798389170941e-09,0.0005918964984369919,0.19503174400927267,1.0812355927132882e-07,5.960997412040644e-07,0.0009551836973898917,0.0781747987700666,6.257443164853917e-11,-4.507149032022361e-16,1.4413231019599405e-14,4.984916764480294e-13,3.356830696204301e-12,4.419369873722284e-16,-4.500189895161259e-16,-9.065274332283046e-16,1.1034559882677637e-15,2.8964924838351255e-16,1.3051236850675197e-16,-4.30127570648062e-16,-4.839922294698613e-16,-3.8301936157962807e-16,3.033100838949112e-17,3.246509825929559e-17,-3.594121649532422e-18,3.9814043885554175e-07,-2.563543481790206e-16,2.922595195673199e-17,-3.8338239968700434e-16,5.928706639269158e-17,2.507757593123265e-13,-3.8623088324840745e-17,-1.2715513322481636e-16,4.084652170761805e-17,-4.549450744811764e-17,1.1101391449030176e-16,-4.325013086574344e-16,7.686764921226703e-18,1.4430198398083874e-18,2.4874923998304896e-17,-3.307629402644454e-17,5.664501074915747e-17,6.170623949006966e-17,9.175688435336283e-17,7.987948368273733e-18,1.8694005019183333e-17,3.8873377910042083e-17,1.2034713395689225e-16,-7.444574313239141e-17,-3.059046145293497e-16,-1.8280689323543555e-16,-2.226835814199626e-16,1.4197890074842266e-16,9.232715268534129e-17,2.4234776559380624e-14,0.008126909449969959,1.9725194841891616e-05,3.5794599907641246e-06,7.050774546831948e-11,4.9129265212109315e-06,1.3190833011557307e-13,8.331837744941459e-14,4.487880798456072e-15,6.165708924253658e-11,2.174254219860663e-14,-3.0366781776274576e-17,7.890544168567804e-18,1.0130088960086286e-17,0.00026214343793242237,1.0245844130511236e-13,4.64540819444776e-13,2.457975261507005e-11,1.0670387552614791e-13,1.4738386513144792e-07,-3.79139921363029e-17,2.003430884473107e-12,1.8739154763297153e-15,9.538150003595377e-16,1.0309257472445561e-16,2.209608575279641e-17,7.248815080377259e-17,2.3733532220839784e-17,2.6346057926279392e-14,1.1846598668959226e-11,2.374431851275489e-15,3.2961401464540575e-150,1.299281624,801,297.3284152,595.1865371,101375.3824,0.395196882,0.2NH3,"CH4:0.612224535086828 , NH3:0.387775464913172","O2: 0.21, N2: 0.79",42.03550211998186,39.519688200000004,0.6704060342033988,2.821714285222892e-16,5.953089409692925e-16,3.412995917786486e-05,6.760953661477615e-08,9.569531917923983e-09,9.501119187360439e-09,0.04360059847839471,0.1890888250735616,2.0590314956588037e-10,7.10378753428903e-11,0.044688859036547665,0.050700295944181226,4.928081064210485e-07,8.820312827476267e-16,6.646689444532979e-11,1.2568273060109395e-08,2.087178338930922e-07,2.2265455888546768e-11,1.5325311236969926e-14,2.0565539824743308e-15,6.55952828791244e-10,9.338703530579259e-16,1.1163966035319638e-14,3.042658955528433e-14,1.5878298846325574e-14,9.36110515596326e-16,8.583728643461225e-16,9.338453279313429e-16,5.3443135410502037e-14,1.6157681820211051e-06,9.802829253766106e-16,1.1077484336977098e-14,9.441050014023752e-16,1.1328643453769784e-11,1.6263157880523838e-10,7.507926362488881e-12,1.0947755622953267e-14,2.386024900704188e-15,7.762932618281799e-16,9.685667928063777e-16,9.084861803051882e-16,7.631270933567922e-16,7.900557477916014e-16,9.062667144933028e-16,6.050167888480933e-16,7.123270674169861e-16,5.492561784321851e-16,6.263339156388306e-16,9.85812817353088e-16,8.595930868341333e-16,7.690893019263804e-16,5.267616171657077e-16,7.963322824282954e-16,7.298944709748449e-16,7.68837455599624e-16,1.0031285733212983e-15,7.891838471212505e-16,7.654974627703268e-16,8.382013705540685e-10,0.0012188205876456338,4.19181023364798e-09,7.584156389757334e-05,9.698014008841202e-06,5.217523466618371e-06,2.6014982403566686e-15,1.5346561974845325e-12,6.918045379838405e-11,1.6522967853887973e-08,7.685588906833383e-11,2.2802472037769513e-15,7.206832395720225e-11,8.328035775115294e-16,4.439491055649885e-07,1.2109293112353056e-15,8.941086467335316e-16,2.0470204016143496e-15,1.3249509481213899e-15,1.539083681296813e-07,9.735578472692842e-14,0.00010588021258118904,1.508925845998012e-08,6.788207894284949e-07,2.9862048497086597e-09,1.03073560363043e-15,1.8890262458057754e-11,1.0029895860395611e-11,2.1739424211173134e-11,6.206484407833961e-05,3.32035775612598e-11,2.028889998560454e-10
0,1.049174239,773,296.9807058,635.9363282,101369.1607,0.670580882,0.2NH3,"CH4:0.612135113397983 , NH3:0.387864886602017","O2: 0.21, N2: 0.79",75.47382861658116,67.0580882,0.7008897000586519,-4.205936656446499e-15,-3.83585779011429e-15,3.800456014748e-05,2.1012232767577973e-05,1.551722243113918e-07,9.681153844806575e-10,0.00990595787878126,0.1977354108706081,1.310786295440903e-08,3.5659560602638017e-09,0.013073522973545066,0.07104257933257321,3.409674195481082e-08,-7.389520087053627e-15,1.5798558860620662e-12,1.6622501018360867e-10,8.339653953010077e-09,2.0017622214261267e-13,-7.0781609994928986e-15,7.941073885038873e-16,1.0201326922534863e-11,7.132116507130123e-16,1.4067787143229585e-15,-6.646506480103515e-15,-2.8485113049276386e-15,-6.784980083395298e-15,-3.962774015907683e-15,-4.851248332439564e-15,-2.247262241867387e-15,5.01809099347229e-07,-4.65920318655998e-15,-2.043816702185564e-15,-6.275408302136184e-15,6.552881045078747e-13,2.7774166343086097e-12,7.712658178095692e-15,-4.004591985942046e-15,-2.2327119507710236e-15,-2.6732285545490703e-15,-2.072507248276352e-15,-7.165407513356481e-15,-2.8242336930001333e-15,-2.482512138399054e-15,-1.9323569772622526e-15,-2.8135945417999424e-15,-2.5057551724550057e-15,-2.1819135674069276e-15,-2.563994143629889e-15,-3.216717190836725e-15,-3.923154813266689e-15,-2.7406015665777878e-15,-2.7028220125034766e-16,-2.7164563419042174e-15,-2.170782163181092e-15,-2.993300966811492e-15,-5.3828197974892145e-15,-2.6590885003847565e-15,-2.578050920246855e-15,2.8842435229226848e-11,0.007215966366737457,7.325491456650631e-08,5.175376071434369e-05,2.8996552404282646e-08,1.2585641687873126e-05,-1.4163233346279092e-15,2.579531144001541e-12,5.266927665335487e-13,3.032339619610705e-09,2.4275060743762418e-12,-6.478940674987131e-15,1.9547015644610015e-14,-2.0967876799980148e-15,1.2540676373315136e-05,6.1015477358669174e-15,4.86593406424797e-15,2.9835105861658755e-13,-4.87017384291071e-15,1.40469710700029e-07,-1.7788055692736936e-15,5.347419941304351e-10,1.9550648035331514e-13,1.8819469999506615e-12,5.942711109484613e-15,-2.2444088840407186e-15,5.253297286861149e-14,-2.1856855004548835e-15,2.6761528752668482e-14,2.0740381592329907e-09,1.3290570043680324e-15,7.089992934092522e-12
0,1.09941892,784,297.5655141,637.6975425,101358.0505,0.647131957,0.2NH3,"CH4:0.611987375081853 , NH3:0.388012624918147","O2: 0.21, N2: 0.79",72.55156200893543,64.7131957,0.6941327309661123,-2.460217948138125e-15,-2.2390602961752518e-15,3.704522705680207e-05,4.2350319887580145e-06,5.63038988972049e-08,1.2216802324984761e-09,0.01631450998529872,0.1969407111487988,2.929503100575124e-09,1.1528797213186035e-09,0.020873762853474455,0.06532024278167846,6.02138889089787e-08,5.335611518276193e-16,3.0124582486916774e-12,3.615391571926706e-10,1.502467429020401e-08,3.5041629996715064e-13,1.0159802926718933e-15,-8.707728564682302e-16,1.784587133339196e-11,3.393541538765517e-16,-2.090467426698497e-15,9.458230302695833e-16,1.4989561552482988e-15,5.350065156790332e-16,1.196528870581046e-16,5.282550651185361e-16,6.52370670489417e-16,5.874014205233185e-07,5.277476592433977e-16,4.550427378275017e-16,5.349267304529588e-16,1.207567143674684e-12,4.5319277553377084e-12,3.530434902744511e-14,6.108934002255309e-16,-3.077713625577207e-17,1.9325875743789696e-16,3.436095914810025e-16,5.342563013124015e-16,9.653329948737394e-17,2.148668656799832e-16,4.138288288627346e-16,-4.631445075624797e-16,-2.862282066894093e-17,-5.850973347955845e-16,-5.100048817077424e-16,5.207128645522597e-16,1.172089279899266e-16,3.40270200843429e-17,-1.0136303108944711e-18,1.710084930605489e-16,-6.620027466766473e-17,2.161868305468034e-16,5.343596912675651e-16,1.6516533622758965e-16,-3.0976603696806146e-18,5.3853656066872096e-11,0.0062830278626253965,1.883035595463026e-08,7.556806481592747e-05,1.192218584696808e-07,1.1306431620785404e-05,8.479116940925256e-16,2.5234256769081362e-12,1.4719579262171586e-12,5.055580493101142e-09,6.542633630393586e-12,5.42147068411576e-16,1.6714610599853666e-13,3.3528461506538967e-16,5.842300840510649e-06,4.004807684693845e-15,4.236715992893061e-15,7.164353879020223e-14,5.671433119806293e-16,1.3866562519293515e-07,5.159675706985774e-16,3.070290374659705e-09,1.080088003772328e-12,1.0903349447159722e-11,4.5979505415943167e-14,2.936179969698241e-16,1.0032089796268371e-13,1.4137577071046602e-16,5.282871318973321e-14,7.777027448421255e-09,1.3588932433104824e-14,1.1642096276027112e-11
0,1.148836453,777,297.6450175,635.366377,101358.0505,0.601813352,0.2NH3,"CH4:0.61204858893016 , NH3:0.38795141106984","O2: 0.21, N2: 0.79",66.92049696235381,60.18133519999999,0.6877559866043319,7.23882935972656e-15,5.011985588058738e-15,3.714271251002029e-05,1.3071701483018644e-06,3.3687271688296564e-08,1.8545538390814307e-09,0.022938001030232497,0.19568773177179033,1.1018850914717206e-09,5.192379956566383e-10,0.027743555937281842,0.060596164872984706,9.642794478157055e-08,-2.36621902562706e-15,5.37451557056538e-12,7.447497991646377e-10,2.5770183131634966e-08,7.011043906633602e-13,-1.4864629333110728e-15,-9.59005099233287e-16,3.321339685237672e-11,-1.585303686227353e-15,-1.7657311912407879e-15,-1.4740281022609057e-15,-5.491585682085349e-16,-2.3255569778812064e-15,-1.5932658574846875e-15,-2.206515094652843e-15,-5.355153397420932e-16,7.129704873656964e-07,-2.159040923044715e-15,-1.483605668574346e-15,-2.288186212970119e-15,2.0074784707092617e-12,8.288468208415203e-12,1.0066743360875734e-13,-1.941184752941687e-15,-1.6265148858603563e-15,-1.6768111366121715e-15,-1.7591057149349733e-15,-2.350032381769141e-15,-1.637657991179188e-15,-1.6922783278350265e-15,-1.8381921256630818e-15,-1.3852469951696916e-15,-1.651665721718044e-15,-1.6257704910020816e-15,-1.119898145622607e-15,-2.097955328560433e-15,-1.5811802221420782e-15,-1.6447213608894623e-15,-1.2204011221396707e-15,-1.6574587923385373e-15,-1.6312021614579792e-15,-1.6955353016267256e-15,-2.237447632303268e-15,-1.6555228774350935e-15,-1.6930316911319388e-15,9.290596474109358e-11,0.005134059222665471,8.85064552032913e-09,9.124010012202664e-05,3.0820475200049763e-07,1.0042026838421608e-05,-1.2629131196491165e-15,2.4479048425469396e-12,3.347033488330498e-12,7.106339172616207e-09,1.250110640272756e-11,-2.28331470320277e-15,6.484736269712976e-13,-1.7558939828061132e-15,3.3849648870237283e-06,4.2645599947102825e-16,4.488267025927072e-16,2.402148416152086e-14,-2.1476572033732244e-15,1.385446888736753e-07,-1.6896524291154654e-15,1.9824580972741596e-08,6.072124450020493e-12,7.548483980127899e-11,3.1232540210510465e-13,-1.7268302490282711e-15,2.3086582394394766e-13,-5.916983161356045e-16,9.189296546064417e-14,2.7715165842759322e-08,4.150525205300424e-14,1.9986880434868948e-11
