,phi,grid,T_in,T,P,vel,blend,fuel,oxidizer,strain_t1,strain_t2,H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO,H2NO,N2H2,HONO,N2H3,N2H4,NH2OH
0,0.699264468,842,297.8730477,527.0820412,101302.4997,0.257591194,0.3,"NH3: 0.520594953, CH4: 0.479405047","O2: 0.21, N2: 0.79",25.568597877064803,25.759119400000003,2.3582706675339517e-06,2.6790500632307776e-10,2.030693290235828e-08,0.05272896852433202,9.476623885092241e-06,0.15930952191296482,2.757092803630243e-09,2.68426945180354e-06,7.257280099682043e-15,7.387617974152312e-15,6.149094396789886e-15,7.45942731806432e-15,-2.95870534226853e-15,9.694483755872501e-15,4.845033956684111e-06,0.05227954525652234,5.042672666000819e-15,-1.8899959881803296e-14,6.909847203156481e-15,-3.9422257322702575e-16,-1.655737778564612e-15,7.292948278770452e-15,2.1632453829472812e-15,6.5962251735151575e-15,4.567485227200656e-16,9.394287255223317e-17,6.22731418789185e-17,5.4831925630537975e-15,-9.17747347990685e-16,5.745035722109198e-16,4.9482727346301415e-15,5.598037462234953e-15,3.264323461390309e-15,4.4284692380633316e-13,7.456818810359205e-15,0.006300564393021598,9.615913001873064e-05,1.8152613054255876e-06,7.237543128964854e-09,6.856704785304521e-15,1.165446374080415e-10,-4.619517363185942e-16,6.872113263082347e-15,7.89510214983147e-09,3.22697946577457e-10,1.7591916442532072e-10,3.23674147939446e-15,0.729251918492295,-2.899625111763799e-14,-3.0528082186627323e-16,-2.975931073257008e-17,-1.5870050993822596e-15,-3.651086405178326e-16,2.497128952172864e-17,-2.2100684571518652e-16,7.68489149844685e-06,-7.155410401308394e-16,-2.775884788929305e-16,4.418859847133127e-06
0,0.749944071,890,297.8775868,544.8503656,101213.6183,0.301912406,0.3,"NH3: 0.520668697666667, CH4: 0.479331302333333","O2: 0.21, N2: 0.79",30.8838032117319,30.1912406,4.5524290327003845e-06,8.617714673755427e-10,3.736451594555434e-08,0.0424652902907917,1.3139527932081852e-05,0.16924059151166326,4.7629198537543986e-09,3.421619109713626e-06,-1.1719428627027245e-16,-1.2289233723486186e-16,-8.789926204948994e-17,-1.2612289249094162e-16,-1.0338519443884354e-16,2.7508592677197096e-16,8.874178446244528e-06,0.05555779905399156,3.006813280705137e-17,-2.40839601116034e-16,-1.0524141922324842e-16,-1.0429499217059487e-16,-9.008250899406089e-17,-1.186517215956763e-16,-1.285282375270839e-16,-9.705113957515474e-17,-3.0058326741665753e-16,-1.0886757569523394e-16,-1.5524320437943596e-16,-8.7064040283255e-17,-1.648812465727925e-16,-1.1529180804546612e-16,-8.137217031972601e-17,1.6044556978913366e-15,-7.575175910106654e-17,7.198102421673748e-14,-1.0022515463938507e-16,0.0071436340930774635,0.00010748371786873618,1.9890676173349922e-07,1.8496957668833547e-08,-1.0212436636853428e-16,3.0369716260481274e-12,-1.5719999586764444e-16,-1.0316919618834614e-16,1.7414185071775274e-10,4.710264628204776e-12,5.9531394501143455e-12,-3.892164486515381e-17,0.7254446686533393,-6.889141460359418e-15,-1.149630243162868e-16,-1.4741633292796558e-16,-1.0914863852139797e-16,-1.2989915329731898e-16,-1.0586370159720363e-16,-1.3080212271671277e-16,5.710959300151968e-06,-2.317503366545721e-16,-1.5301712123597035e-16,4.573384615480008e-06
0,0.799863962,860,297.7131599,560.4930005,101213.6183,0.35513521,0.3,"NH3: 0.520530744333333, CH4: 0.479469255666667","O2: 0.21, N2: 0.79",37.2762397383035,35.513521,9.706529007475983e-06,3.0637408603909865e-09,6.913654474775033e-08,0.032436976933949556,1.790586747731615e-05,0.1789115111091071,8.499527433304346e-09,4.386630904189084e-06,1.0378038521750733e-16,9.568255723957342e-17,1.4836818585006159e-16,9.177741194183024e-17,2.4189498450831805e-16,7.473010317394623e-17,1.8259125621400264e-05,0.0588453600973513,9.66061907620872e-16,4.5424943934770974e-17,1.2527202664444075e-16,1.8445817337746769e-16,-6.379179444252648e-17,1.0176354752908604e-16,6.617302202833915e-17,1.4259613506671088e-16,-1.4660003676115295e-16,1.9275253667591795e-16,9.392730252063257e-17,1.6812476638241485e-16,9.522644569156447e-17,9.829324028450255e-17,1.7784519604383283e-16,1.101712770042774e-14,2.818660439201151e-16,2.2848800303152205e-13,2.0899096256822424e-16,0.007743528439444827,0.00011234287991682399,1.995925327693654e-07,5.1344574616739e-08,1.3209553250524682e-16,4.188690196688604e-14,1.1020423463898121e-16,1.2955527561645715e-16,7.642506156684667e-13,3.253442591008674e-14,1.0737897569089152e-13,2.5039645702144407e-16,0.7218907208092776,-1.7270379113558645e-15,1.9294345396674997e-16,1.0590182977077721e-16,2.6956398571664726e-16,1.482604352389327e-16,2.2006493037511065e-16,1.7047621160862995e-16,4.3646076347612015e-06,4.791279924822509e-17,2.5461608543694197e-16,4.6053321980000626e-06
0,0.849582705,828,297.698572,579.1445064,101213.6183,0.40994638,0.3,"NH3: 0.520572273333333, CH4: 0.479427726666667","O2: 0.21, N2: 0.79",43.92668770861769,40.994638,2.300181823794062e-05,1.316947733664891e-08,1.333605040285277e-07,0.022598161044127405,2.413072949046168e-05,0.18852817137647743,1.615111776573804e-08,5.547570087106886e-06,4.2366246227227204e-16,4.0727686816713035e-16,4.868670943411984e-16,3.996349026470901e-16,4.078691751462306e-16,3.5365402696494385e-16,4.0124552819157385e-05,0.06206579593361466,1.0711689036243712e-14,-6.326252144066523e-17,4.609359236814819e-16,3.5658487541140997e-16,2.0612927588010208e-16,4.182755816347477e-16,3.98449420564191e-16,4.861954885431222e-16,4.0284416165340837e-16,3.495288334594253e-16,3.3268662995356814e-16,5.021889297176653e-16,3.137525282273481e-16,3.700131395578942e-16,5.425495877916307e-16,9.145153216146061e-14,1.0290461163659942e-15,1.166680600658308e-12,1.076302349923293e-15,0.008104197818172447,0.00010289797227527489,2.5379894076590485e-07,1.6457725834094197e-07,4.768802591858997e-16,4.21069197821528e-15,2.8459060031477793e-16,4.700166908705e-16,1.8177768657096163e-16,1.7689428448573442e-15,1.9191776078438667e-13,6.844953858813809e-16,0.718499142219717,1.2217490469621826e-15,3.913422791934384e-16,3.3565427909616435e-16,4.245058322718202e-16,3.5136007385531834e-16,4.367278580859165e-16,4.0619011975187004e-16,3.719593882355794e-06,6.429027134870852e-16,1.4132675813976563e-15,4.528312316787276e-06
0,0.89995353,793,297.6745556,583.1618148,101458.042,0.458292383,0.3,"NH3: 0.520608965, CH4: 0.479391035","O2: 0.21, N2: 0.79",49.86804695175442,45.8292383,6.919714852014442e-05,7.810882001983957e-08,2.2717806621700338e-07,0.012816010192845274,3.079709862154999e-05,0.19812089565659832,3.450044522521354e-08,7.133474129315279e-06,-3.378528964103441e-16,-3.298937301144781e-16,-3.6243875980755896e-16,-3.27130089146063e-16,-3.655166096398645e-16,-3.3852548732281324e-16,0.00010344585643900546,0.06537226619448482,2.7681613550140817e-13,4.370302126706035e-16,-3.5872511629947637e-16,-3.268278704552608e-16,-3.319799679564415e-16,-3.3341971737449495e-16,-3.4446734424717765e-16,-3.7051712708138566e-16,-3.8800150464413555e-16,-3.091971504483498e-16,-3.3284153705426555e-16,-3.702717679828586e-16,-2.9821777058283696e-16,-3.319483587402103e-16,1.5574704162881217e-16,1.1750908270308113e-12,5.414426208868418e-15,9.630249990862091e-12,4.7041229055608185e-15,0.008195670610624053,7.129674373374484e-05,5.355718117647509e-07,7.864056298472083e-07,-3.6942805199311484e-16,2.5255142462507102e-14,-2.7820911050277236e-16,-3.635939415118354e-16,3.986818495519123e-17,1.543758104379088e-15,1.2487673888054989e-12,1.256755718836052e-15,0.715203313881188,-1.3772688002794972e-15,-3.4542084835123303e-16,-3.272014593815156e-16,-3.5825737039428585e-16,-3.312697188423822e-16,-3.644134734391526e-16,-3.716476975549198e-16,3.9606711550826295e-06,1.1601251801363781e-15,9.823217233840572e-15,4.350694517841584e-06
0,0.95059923,772,298.0037758,601.1493784,101413.6013,0.494703942,0.3,"NH3: 0.520698037666667, CH4: 0.479301962333333","O2: 0.21, N2: 0.79",54.37356031360332,49.4703942,0.0004544976640662404,1.845478498975528e-06,1.9524891333300156e-07,0.003448103156182311,2.5958736745652954e-05,0.20764274283716855,1.3498519062308169e-07,4.455425783490745e-06,2.6012668284256975e-16,2.5773751687430386e-16,2.6083830569478986e-16,2.565113841506363e-16,2.9231570979169854e-16,3.191747294665832e-16,0.0004887350068410685,0.06818024254073154,1.0969022320276962e-10,2.669246849581811e-12,2.77232412432103e-16,4.468786428929441e-16,3.4190625579628596e-16,2.596775513083536e-16,3.0523271293807673e-16,2.466595980251873e-16,2.8311587316987894e-16,2.8756536533598385e-16,2.521249835741017e-16,2.5447832846694083e-16,2.660680155446447e-16,2.6135479677968107e-16,6.268842920571014e-14,8.203111712141944e-11,2.226656042557226e-13,2.8154305825623024e-10,1.8554373940338664e-13,0.007942013634335235,1.6240008198782792e-05,5.238044694210995e-06,9.228877726003651e-06,2.4440584580935745e-16,6.652343686284771e-13,1.2974736409928082e-15,2.4860595978174916e-16,3.1277984566958386e-16,3.1779889321219688e-15,3.6395089451888724e-11,1.52424247102656e-13,0.7117726284128982,3.4282456332315164e-16,2.7976134691077187e-16,2.68162187828066e-16,2.8532101941877915e-16,2.769128202416464e-16,3.002495683914553e-16,2.6010730978511684e-16,3.6494342561337252e-06,2.6853253356906572e-14,2.2431505084171443e-13,4.089993889021828e-06
0,1.000359633,772,298.0470669,614.9192732,101391.381,0.514780965,0.3,"NH3: 0.520801827, CH4: 0.479198173","O2: 0.21, N2: 0.79",56.91752945661847,51.4780965,0.004447448240993299,4.171233265066913e-06,1.744655597897955e-09,0.00018562862868992382,4.465238311712768e-07,0.21037065102976937,1.889458997883915e-08,3.1753215922812385e-08,2.4696174953245575e-16,5.296037240528347e-16,4.601582480331956e-17,5.869883608777764e-16,2.1811726711958177e-13,6.113738671631951e-12,0.00465280662229919,0.06635589790867163,2.2118572655702876e-08,2.266116695322866e-09,8.802435084883155e-13,1.959129977741651e-13,1.1290371135540078e-12,4.498131439197079e-16,-3.400586970632038e-15,-1.0501428983617244e-15,-3.8511352839017936e-16,-9.798139737845386e-16,-8.967477194774164e-16,-2.3129530737443784e-16,3.5956224328382144e-15,-1.2260474988614052e-15,1.5289402204940813e-12,1.672044057290416e-09,9.633588887532754e-13,2.4205140804194374e-08,5.517478344906597e-13,0.0070710616914460124,7.902339883451226e-07,4.268206613263882e-05,1.5273681511861743e-05,-1.3788665755512738e-15,6.564286137352876e-11,1.6502923777408238e-13,-1.152401437454458e-15,9.814933439420716e-14,6.032202763370212e-14,3.0022003774674677e-09,2.8614661684361406e-12,0.7068481646104896,-3.147718126213933e-14,-1.2572770418587197e-15,-1.243666496411891e-15,-6.188963186144793e-17,-1.0091476679817405e-15,1.0528872300720425e-12,3.475423990548844e-16,1.1269810297941068e-06,1.5894690599511406e-12,2.3258560971951866e-12,3.7448060087125854e-06
0,1.048214494,785,298.0154963,618.1457101,101391.381,0.516647552,0.3,"NH3: 0.52065138375, CH4: 0.47934861625","O2: 0.21, N2: 0.79",57.034210455916764,51.6647552,0.010337062171087263,4.606361610449173e-06,6.520092461636973e-10,2.022402743618197e-05,6.349785332431939e-08,0.20994058028142198,3.33767442555862e-09,3.9456250456605524e-09,4.54146220386067e-16,4.0172855102315593e-16,3.154310712999808e-15,4.160577887496217e-16,2.6558360468585072e-12,7.812371681813588e-11,0.0112569588161464,0.06148970219088313,9.145682543991093e-08,9.33172687686442e-09,1.5760476302913533e-11,7.455123654146158e-13,1.2345144463979006e-11,4.137336494566422e-16,2.9292614743178006e-16,4.2290449892050983e-16,3.6553526238804544e-16,4.725011618304559e-16,2.7793403239060277e-16,5.196479414724709e-16,1.2466005426753532e-13,4.017431246726973e-16,4.66685866187515e-12,3.9153486687590436e-09,1.9739569248842335e-12,1.833302579344542e-07,6.417317261359573e-13,0.005948347716417496,1.0370380754808047e-07,8.1512074986567e-05,1.2046997235499217e-05,5.688696474471544e-16,7.203685526660101e-10,1.9293342414643946e-12,6.127336070476972e-16,9.631372736107709e-13,3.5473170087411197e-13,1.709919094149495e-08,7.407115401695206e-12,0.7009044026386977,-1.760421723143911e-16,4.0981084117156124e-16,3.03720844108943e-16,3.550004780383113e-14,2.56042159459192e-15,8.176937957572371e-12,1.3716969306486473e-15,7.449441116410222e-07,1.0597678552000221e-11,4.561729388134772e-12,3.3306382006576017e-06
0,1.099010816,820,298.063669,612.0418972,101391.381,0.498017922,0.3,"NH3: 0.52059183625, CH4: 0.47940816375","O2: 0.21, N2: 0.79",54.736117568642385,49.8017922,0.01706976904578609,5.709600046541353e-06,9.46036679318896e-10,4.004847562551811e-06,3.277890540034818e-08,0.20891943267794075,1.275095827538868e-09,1.4217759922922357e-09,-1.3531755648983595e-16,-1.126333099296745e-16,1.5955489126649205e-14,3.958426623872252e-18,1.0382511086898197e-11,4.2119046605028366e-10,0.017956821769955993,0.05669008656418029,2.0344425104054e-07,2.6246754043546498e-08,6.502277622267817e-11,2.3548066006161468e-12,6.222842052787216e-11,-1.205172402754298e-16,3.01457011605534e-16,-1.3193058539943563e-16,-2.2483164976446334e-16,-1.952006524299007e-16,-2.5138437350769042e-17,-1.4665403550199976e-16,9.091945616595264e-13,-1.0899184433449195e-16,1.175572500310925e-11,6.138411999810503e-09,4.0738409475263334e-12,6.622530047188043e-07,7.658941198110954e-13,0.004614775407439218,2.773364063005641e-08,0.00010275450368127083,9.721067174059376e-06,-2.2717209445408155e-16,4.864127930635826e-09,1.8574304263185348e-11,1.269079024351948e-15,3.843633672293946e-12,7.870439525496733e-13,4.448183124595443e-08,1.540651127573332e-11,0.6946225693183815,3.864029624729279e-15,-1.1638989138850975e-16,1.4649106991852112e-16,2.9989955256502474e-13,2.968783664785911e-14,1.3799958626067313e-11,3.0449517777455578e-15,5.27794228604415e-07,4.049727098131538e-11,6.1589911948790126e-12,2.815141683619413e-06
0,1.149741164,878,296.9069639,623.5311782,101308.0548,0.463241538,0.3,"NH3: 0.52062178, CH4: 0.47937822","O2: 0.21, N2: 0.79",50.4726419674264,46.3241538,0.024347146507803247,8.91001266047249e-06,2.245697444940951e-09,1.152826410613354e-06,2.294366453873962e-08,0.20743190466083086,8.114844973552414e-10,8.267520110842565e-10,-7.294903762960952e-17,-7.822943545947515e-17,9.120307959694333e-14,3.683549261452579e-16,2.8593418850851407e-11,1.8043167082796108e-09,0.023815113346559256,0.05269173965550859,3.490119550129601e-07,6.008999944819339e-08,1.724019450917721e-10,6.128230348202464e-12,2.2263344310084445e-10,-1.193079539041269e-16,3.2210679687104093e-15,7.210474873166731e-17,6.901678694035249e-16,1.5386402472416415e-17,7.582460264202961e-16,2.549766003031709e-16,4.309024454258805e-12,9.478358126392107e-17,4.1147908652465536e-11,9.566712427538742e-09,1.2250414603759106e-11,1.5801884454343719e-06,1.292699412670012e-12,0.003196604700951437,1.0660129871345434e-08,0.00010052473498677988,7.11073488882722e-06,3.391862331085519e-16,3.09462970128718e-07,1.6365445231186083e-09,8.487829247455581e-15,1.0921112748974124e-11,3.4682449767783464e-12,7.993242225426927e-08,2.8467330222602193e-11,0.6883947295511946,1.7446912977440512e-15,2.414149137869399e-17,3.096426247386863e-16,1.595757556529403e-12,2.0920547720658813e-13,1.2154716403557641e-11,1.0345370756372247e-14,3.3526430288667683e-07,1.1522482028687909e-10,7.379845964184543e-12,2.298154512184574e-06
