,phi,grid,T_in,T,P,vel,blend,fuel,oxidizer,strain_t1,strain_t2,H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0,0.749025806,757,297.9956357,531.0143264,101118.0709,0.200524206,0.4,"NH3: 0.628420113243972, CH4: 0.371579886756029","O2: 0.21, N2: 0.79",19.251692590186735,20.0524206,3.633797321366845e-06,2.8010402067542716e-10,6.102001055543832e-09,0.03841692032433707,7.261931739173507e-06,0.17978060421436057,1.1591545399430077e-09,1.994352733616005e-06,-2.431537602713609e-16,-2.4315352392389425e-16,-2.4362022131012043e-16,-2.431691989564827e-16,-1.468629588269458e-16,4.429557603562287e-14,7.458660155176551e-06,0.04755620974612087,-2.1873119744255095e-16,1.5941862683996936e-15,-2.433407107285006e-16,-2.1107497682982843e-16,7.785349569718083e-15,-2.4320440165875073e-16,-2.56599823985746e-16,-2.4399729046953747e-16,-3.3619161350455204e-16,-2.8166495161043826e-16,-3.2042495015313307e-16,-2.454624573464912e-16,-3.1823728431362886e-16,-1.5121104310085541e-16,-2.4473194459901123e-16,2.7029156500357036e-15,6.02993590028239e-11,5.406839124970259e-10,-2.3588843384613676e-16,0.012027574529948374,0.0001095035096438149,5.4124504510243134e-06,1.901674605554391e-08,-2.411378435118305e-16,3.32041642555227e-09,4.668560192028632e-15,-2.4342257633051425e-16,1.1769555176832532e-07,2.530544452652212e-09,3.10155824759408e-09,1.806157108823251e-15,0.7220832726760734,-5.246671443627164e-16,-2.9653813193231397e-16,-3.1823848052839446e-16,-2.9408118205978467e-16,-3.094906364382698e-16
0,0.799425766,811,297.8767397,549.8542689,101118.0709,0.236118485,0.4,"NH3: 0.628223980139151, CH4: 0.371776019860849","O2: 0.21, N2: 0.79",23.435025952683645,23.611848499999997,7.2916660292487815e-06,9.879472013586378e-10,1.2381493509048665e-08,0.028690719309063986,1.0083663442057581e-05,0.1899278072358993,2.126796780679011e-09,2.5551091074798573e-06,2.623650601397639e-16,2.6838744415550337e-16,2.3957075240366714e-16,2.7157449577043856e-16,2.6370751498075776e-16,3.4696500297424388e-15,1.3191302278249521e-05,0.05023059383408663,4.0982491776565677e-16,2.918850457796458e-16,2.472464625598074e-16,2.5220511938499995e-16,7.984323275800115e-16,2.6071774422716484e-16,2.4231667436374697e-16,2.4008877502904265e-16,1.6578264348330612e-16,2.568924798863751e-16,2.248102518475492e-16,2.372357257255499e-16,2.2037282793944535e-16,2.1066485591565626e-16,2.3292393320440657e-16,3.926680103930022e-15,4.553603001615584e-12,3.8033990299904935e-11,3.0331994479620407e-16,0.01247372425700975,0.00010912201384366374,2.989767921530372e-07,5.044999766093139e-08,2.418168677709092e-16,1.3491726429247342e-10,6.235412592109321e-16,2.4455735671075414e-16,3.796954188495505e-09,5.724054560685002e-11,1.71189395538364e-10,4.0743095191579374e-16,0.7185345424833023,5.337849598955566e-15,2.481785561936504e-16,2.272159647631843e-16,2.859863040589263e-16,2.3499845350207926e-16
0,0.849112157,863,297.8741691,567.9462993,101118.0709,0.273551173,0.4,"NH3: 0.628263415432456, CH4: 0.371736584567544","O2: 0.21, N2: 0.79",27.91225964649334,27.355117299999996,1.788208284311351e-05,4.560946964243496e-09,2.4881083224879402e-08,0.01922164554761891,1.36802181932291e-05,0.19992621563867324,4.006167065951083e-09,3.268622992047683e-06,1.0124768075918761e-16,1.1216927071065473e-16,6.772500994776527e-17,1.1766080510750463e-16,3.323332175337942e-16,4.519196242051594e-16,2.869757570525812e-05,0.052880650335110316,3.2600795528499115e-15,1.59501162446528e-15,7.408245404900802e-17,4.1689336239605603e-16,7.575056752500695e-16,1.0000025006216905e-16,4.777530117820491e-17,5.588329019744567e-17,5.888712080318566e-16,3.8215946406738756e-16,4.107116247359366e-16,5.676310198447191e-17,5.670220001390339e-16,4.1199094705361546e-16,5.864608290061169e-17,3.289058445128449e-14,5.8247903802462445e-12,4.6094091316879266e-11,2.994962768918305e-16,0.012524782424536472,9.523443386987533e-05,3.813998420938658e-07,1.7313940385636482e-07,5.847525503162282e-17,3.9881483057121995e-12,6.197571078342426e-16,6.748605421175549e-17,2.5719052732496312e-11,7.005260174431842e-13,3.660058000548876e-12,5.2151500403135917e-17,0.7152873550469709,1.1631515500390725e-14,3.431054875868847e-16,4.3312172793092277e-16,2.4979961017828755e-16,4.0737165237914754e-16
0,0.89960907,901,297.8802921,581.7130393,101118.0709,0.306328655,0.4,"NH3: 0.628078625570844, CH4: 0.371921374429156","O2: 0.21, N2: 0.79",31.916455433176452,30.6328655,6.289970383396678e-05,3.641016784826851e-08,4.434232376629697e-08,0.009834672122930604,1.7234406013368198e-05,0.20999758283344916,8.601549547226345e-09,3.963416641084325e-06,-2.927391000350962e-15,-3.0646334612820138e-15,-2.5694542276980786e-15,-3.112278890976542e-15,-5.909585850720994e-16,-1.277707515051003e-15,8.07881637411863e-05,0.055557898789749906,1.4304485218868917e-13,4.713779614591166e-15,-2.405911804371232e-15,-1.0049830545593627e-15,5.420991264939481e-16,-2.8806739063317325e-15,-2.422859104421516e-15,-2.1812390558002127e-15,-1.4742828043163604e-15,-8.545660023458569e-16,-8.32323115741505e-16,-2.407364168643486e-15,-1.05775254676213e-15,-1.2013607193753093e-15,-2.1731965254874704e-15,6.954749656405829e-13,3.8453502810414055e-11,2.890279676865123e-10,-1.4540888113422829e-15,0.012218159238644596,5.468756705241946e-05,1.7042783094185168e-06,1.066787788704891e-06,-2.1514518012812103e-15,2.783790128810649e-13,-7.660080755073696e-16,-2.3259114222675145e-15,6.893306940501432e-15,8.08781937599351e-15,3.2708015602898815e-12,-1.7793592010620438e-15,0.7121692530059502,1.1422864383464976e-14,-1.0843460402270962e-15,-7.522149449119029e-16,-8.382068367934891e-16,-9.346508898165415e-16
0,0.949345778,876,297.7402849,594.118017,101118.0709,0.330349042,0.4,"NH3: 0.628080590710153, CH4: 0.371919409289847","O2: 0.21, N2: 0.79",34.88301011931276,33.0349042,0.0007711449297290406,4.132371144248323e-07,1.6502694510679358e-09,0.0016505837660521223,2.769307912935254e-06,0.2190023495060756,1.0675964899984091e-08,3.9830574464653293e-07,1.2558333032634332e-14,1.54599033792409e-14,7.74852314445306e-15,1.6228137917451047e-14,-1.4184109218857614e-14,7.254161338428319e-16,0.0006630492075651188,0.057554725129135696,7.800553900015963e-11,4.056494320168173e-12,-2.378637791928833e-15,-8.84681885912679e-15,-1.8756376160849947e-14,1.1824348295283268e-14,-2.0995245756159752e-14,-4.535476692653928e-15,-1.4749466377654103e-15,-6.960991465155679e-15,-6.042410214004141e-15,5.532111300335619e-15,-9.275533288024925e-15,-6.742430281328908e-15,1.5253285900716087e-14,1.0273869750355967e-10,5.185099018861112e-10,1.689196463677147e-08,3.7497493804799475e-14,0.011232562338508188,6.247641995146636e-06,4.450933681953249e-05,1.455523722214332e-05,-1.0259774019842367e-14,3.36708185758736e-12,-7.054113983119162e-15,-4.52479482336376e-15,-2.657709409733328e-14,2.7631647067161854e-16,4.2935245756524124e-10,3.803248701253914e-14,0.7090566617019143,-2.655483846550422e-15,-6.979972257159139e-15,-6.05953818254766e-15,-7.969020495375692e-15,-6.8350039184039e-15
0,0.999168612,890,297.4582808,600.3005094,100981.4159,0.342758508,0.4,"NH3: 0.628098976903648, CH4: 0.371901023096352","O2: 0.21, N2: 0.79",36.37677751421404,34.2758508,0.005572550978639461,8.440947761753674e-07,5.566172576545823e-11,6.332178410538053e-05,5.840679203659473e-08,0.22077019121904562,1.267076311765815e-09,5.225784951050333e-09,-3.399960289541675e-16,-3.0651590333568847e-16,-3.810487004991517e-16,-2.9933203838021164e-16,3.388223833050827e-14,6.220668493739443e-13,0.00501681180308026,0.05500523432603735,1.0537686466675978e-08,5.768429514161879e-10,1.592934826228678e-13,1.6873597325143614e-14,1.828227256080846e-13,-3.3759688145279235e-16,-5.503915761059497e-16,-3.252489579639019e-16,-4.401256038903529e-16,-3.072269016674062e-16,4.676098464093662e-17,-3.940068462163316e-16,6.435724985793479e-16,-1.329215625119484e-16,1.127757147092224e-13,9.271753292800445e-10,1.0034687456657836e-09,7.345315252937497e-07,4.587300007069889e-14,0.00878069122912196,2.6730388944992626e-07,0.0002095765971412946,1.2603715271509258e-05,-4.5387461781769625e-16,5.131059616901077e-10,3.5476925051240434e-13,-3.5406789369964764e-16,1.3744648909184577e-14,2.302456298333024e-13,2.4363380319822234e-08,4.62750364179077e-13,0.7045670695382068,-4.63891798918483e-14,-9.26086568449016e-17,1.9032840278375896e-16,3.142915842790498e-17,-6.60582020588473e-17
0,0.999611425,888,296.5359334,596.7554082,101254.726,0.342623906,0.4,"NH3: 0.628145721982657, CH4: 0.371854278017343","O2: 0.21, N2: 0.79",36.4152806996691,34.262390599999996,0.005612481456101299,8.139617212783859e-07,5.017947912593369e-11,6.165372866076985e-05,5.676632854277731e-08,0.22074869018470764,1.2179448671571275e-09,5.1078775654372755e-09,3.498489383289396e-16,6.528068372724677e-17,6.911324580143665e-16,-2.4409385328705527e-18,3.6556885329728324e-14,6.425322298984909e-13,0.005062768735754332,0.054991075351366596,1.0812208115455664e-08,5.938221057689098e-10,1.6524078267881017e-13,1.9261871666189376e-14,1.9277366447814807e-13,3.330100744097899e-16,4.839519036801645e-15,1.1367035429002182e-15,5.726210454178023e-16,1.1164601776845059e-15,9.948307468246076e-16,7.200460557669012e-16,1.4883146257845532e-15,1.169388584530271e-15,1.075412024214947e-13,9.031053390142742e-10,1.010349036007732e-09,7.525693502235901e-07,4.3255326120476976e-14,0.008749481506510403,2.6347465059665646e-07,0.00021113987734120397,1.262808862934102e-05,1.5648724866902708e-15,5.331424648189515e-10,3.818490008524237e-13,1.277146187775755e-15,1.5482292316768906e-14,2.3822029678879857e-13,2.5003964229824138e-08,4.648853149149279e-13,0.7045481490638972,5.889645317526442e-14,9.934672786146431e-16,1.053065388545886e-15,1.2579613060720783e-15,1.1155701461924925e-15
0,1.049835515,863,297.3355022,598.6676129,101118.0709,0.344686985,0.4,"NH3: 0.628088886514407, CH4: 0.371911113485593","O2: 0.21, N2: 0.79",36.667123239889634,34.4686985,0.012012366388335458,1.6556661798621469e-06,1.0279888878088806e-10,6.785856255705377e-06,2.6145660367092958e-08,0.22047426037257695,4.721307045570494e-10,1.3578501205036516e-09,6.674998280740161e-16,5.395968674667492e-16,1.2065786687816024e-15,5.196735118325688e-16,9.954284958466715e-13,2.4690905928242968e-11,0.010756254089867726,0.05086295836570146,5.759508302057113e-08,4.528767050978334e-09,7.183056594108087e-12,2.0969837514336311e-13,5.615125013338352e-12,6.275539601045168e-16,2.4496222277642678e-15,1.1332112736888612e-15,6.399424792472925e-16,1.0660618945415987e-15,8.864211606970226e-16,8.200952058017893e-16,4.7673496458869126e-14,1.0231280742709656e-15,7.029702045389103e-13,2.179704636823648e-09,2.1950187734722857e-09,3.7713221979132546e-06,8.891703750844137e-14,0.006500553560241887,4.022661711601402e-08,0.0002863826231121031,1.03667509471116e-05,1.1311292606664755e-15,2.488358591776301e-08,3.4523202856697604e-11,1.2616609065286467e-15,3.523589482435254e-13,1.2424838808645086e-12,1.0614221123472348e-07,1.966041776601881e-12,0.6990843790975076,3.3800407562292246e-16,1.2242836454721589e-15,1.163911710560001e-15,1.103169778532894e-14,3.012796809741575e-15
0,1.099501409,823,297.5477225,594.5147128,101118.0709,0.33572715,0.4,"NH3: 0.6281851512765, CH4: 0.3718148487235","O2: 0.21, N2: 0.79",35.560766176522975,33.572714999999995,0.018894365145574486,2.63049826598006e-06,2.362207911523785e-10,1.4688634758736696e-06,1.8288632741849985e-08,0.21933575967050478,2.69338445658671e-10,6.799470198287614e-10,3.0191124656799445e-16,3.7838270538760326e-16,4.673749707941905e-15,4.2862672425786917e-16,5.341240506692395e-12,2.1229299553467706e-10,0.016080959744222984,0.04712279668193947,1.4459587208525105e-07,1.6592297434706678e-08,3.867059360655175e-11,1.0336702376106971e-12,4.109087735881225e-11,3.3078766259407144e-16,2.634421308246888e-12,1.633299575507754e-14,4.3198640179954975e-13,2.281435212843805e-15,4.853527961929378e-14,2.6023618083559905e-16,4.788584827700541e-13,3.2316102414627325e-16,2.540154431957417e-12,3.5979878091931604e-09,3.6438788942370427e-09,1.0213433809449824e-05,1.3369001609168362e-13,0.00473326379771109,1.3023062728661924e-08,0.00030607283253698467,8.668923929140864e-06,1.4092645356758537e-15,3.4424179692386068e-06,8.423927311923567e-09,7.212865079542729e-16,2.0886820093644922e-12,3.626473415426498e-11,2.531728810544078e-07,4.800499870211345e-12,0.6934998951179476,5.5725780207746644e-15,3.551952334900487e-16,5.444700758055614e-16,1.3902431781185202e-13,4.249568991886547e-14
0,1.161460842,824,298.070574,588.4784057,100981.4159,0.311328565,0.4,"NH3: 0.62809630277658, CH4: 0.37190369722342","O2: 0.21, N2: 0.79",32.54083186887806,31.1328565,0.027474110124402814,2.734089482781991e-06,3.089659447882958e-10,2.4635048632954685e-07,1.1854709575367517e-08,0.21722874534614084,7.797639492923525e-11,2.2430102180890031e-10,-5.909324514907893e-16,-8.16754356771832e-16,2.0913219469204704e-14,-7.440470405663513e-16,2.741814579083332e-09,7.795652789139173e-07,0.022397430129267443,0.04250302945410649,2.3656963727990644e-07,3.239016640625461e-08,8.657566141306948e-11,2.0279158461124403e-12,5.896142214285546e-10,-7.040246425874721e-16,7.023383459960354e-07,3.824046025137934e-09,1.416355006284038e-07,6.647863074271238e-10,1.926827363212052e-08,7.773736979177523e-15,2.5857189765210227e-10,3.9037173784420095e-12,4.41567210605312e-12,4.589917798443401e-09,2.40187609017919e-08,0.00015975565945316967,1.2767903943133485e-13,0.0036194766400385325,4.643032898593474e-09,0.00031647234053108937,6.510486062344219e-06,3.667065275958578e-14,0.00022164492761713654,6.794462909258748e-07,1.0812563239571296e-15,4.2902071901722267e-10,1.3861415748977857e-09,2.3060860529280564e-06,7.302730828955861e-12,0.6860648912786388,-7.7476711321708e-15,3.0307543992819305e-15,1.4427225364439713e-12,9.930039069296946e-11,5.741040914715393e-11
