,phi,grid,T_in,T,P,vel,blend,fuel,oxidizer,strain_t1,strain_t2,N2,AR,HE,H,O2,OH,O,H2,H2O,HO2,H2O2,CO,CO2,HCO,OHEX,CH3,CH4,CH2O,T-CH2,S-CH2,C2H4,CH3O,C2H5,C2H6,CH,C2H2,C2H4OOH,OC2H3OOH,C2H3,CH2CHO,C2H4O,HCCO,CH2CO,C2H,CH2OH,CH3OH,CH3CHO,CH3CO,C2H5OH,CH2CH2OH,CH3CHOH,CH3CH2O,C3H4,C3H3,C3H5,C3H6,C3H8,I-C3H7,N-C3H7,C3H6OOH,OC3H5OOH,C4H10,PC4H9,SC4H9,C4H8,SC4H9O2,C4H8OOH1-3,NC4KET13,CHCHO,N,NO,NO2,N2O,NH3,HNO,H2NO,NNH,NH2,NH,N2H2,N2H3,N2H4,H2NN,HONO,HNOH,HNO2,HONO2,NO3,HON,CN,HCN,HNC,H2CN,HCNH,NCN,HCNN,HNCN,NCO,HNCO,HOCN,HCNO
0,0.800830124,113,297.8851485,538.7582508,99258.229,0.186069114,0.6,"NH3: 0.791693585788322, CH4: 0.208306414211678","O2: 0.21, N2: 0.79",16.28703290343617,18.6069114,0.719078531885061,1.2532428732512243e-16,2.752660065159237e-16,4.710400814213863e-13,0.03171251934906818,1.6566488181462872e-09,2.0724504774789809e-13,8.149030691401804e-06,0.2101419699204646,9.560548373031986e-13,1.5199663348075552e-07,9.654390799120333e-06,0.032565860390319744,9.810337928637185e-16,9.59560017928307e-16,1.2328514569882599e-15,4.3122434039340614e-14,3.271408551445364e-14,9.630637220074666e-16,9.585226599497797e-16,-2.527905615919815e-15,1.1089972462589756e-15,9.947504957528346e-16,1.1317619659419633e-15,9.530175297919635e-16,8.623727734791537e-16,1.0026762379430843e-15,1.2605439288762492e-15,9.81486009552133e-16,1.1131689517347948e-15,8.908793260447089e-08,9.830750052418751e-16,2.958619394217483e-15,9.74028532486476e-16,9.808123667423942e-16,2.027611345219407e-14,1.2557920968648954e-15,9.91945740652282e-16,1.1473269879595726e-15,1.4808695285179678e-15,1.0005653368626399e-15,9.929410141020406e-16,7.970099767094725e-16,1.269830743104294e-15,9.332842461621222e-16,-4.3399171483350043e-17,1.1447074440293973e-15,1.0267041963929524e-15,1.0249698591697361e-15,1.0661869548538744e-15,2.419982159282404e-15,1.232431198178135e-15,1.013272190147996e-15,1.010009487966832e-15,-2.9858208312385723e-15,2.2997384039992736e-15,1.0181949643072326e-15,3.844572804444638e-15,9.91548148447943e-16,9.564959576497668e-16,0.006301845478475425,0.0001115389753707643,1.8515181023177806e-07,7.129545690849121e-14,2.758999918543617e-09,1.0597124481561614e-14,9.793253780731596e-16,9.755227091471444e-16,1.3871909199313963e-15,1.1580415941142627e-15,9.554714565754127e-16,1.2513039423443115e-15,1.215836801882512e-15,6.931672920769074e-05,1.3306731378449064e-15,4.581121556979775e-11,5.2835097766068046e-11,5.918212709577689e-15,1.8039717095598969e-07,9.758587209559277e-16,2.4714515174088823e-12,3.3027726970711694e-15,1.2819399663320635e-15,1.0876596561989284e-15,1.0669725398480587e-15,1.428179081333241e-15,1.0331781977831942e-15,6.577358688154426e-13,2.695154104399023e-09,2.5335743795806905e-12,1.8679633413049876e-15
0,0.850173811,110,297.8450495,543.7551155,99258.229,0.178638061,0.6,"NH3: 0.791716850460789, CH4: 0.208283149539211","O2: 0.21, N2: 0.79",13.476628630565102,17.863806099999998,0.7155193312482551,-1.572175026585004e-15,-1.6860885576286323e-15,2.4974327413578114e-12,0.023147205505900117,3.3775134429779138e-09,5.932749191884328e-13,1.4259365668873587e-05,0.22021195215252654,2.5220200637871167e-12,1.823142597970117e-07,1.561861869663684e-05,0.03407166702742619,-8.255913006661821e-16,-8.296905011460821e-16,-6.091219422555817e-16,4.104008524555329e-14,2.8610924496417503e-14,-8.253063448820587e-16,-8.302858250633999e-16,-5.307355425581713e-15,-7.373018670101635e-16,-8.128619398956255e-16,-7.67756855448498e-16,-8.300066015500855e-16,-8.780171887958687e-16,-8.25842937873281e-16,-6.512898626381038e-16,-8.240697864579279e-16,-7.055566133596398e-16,9.322135222934194e-08,-8.281121614855968e-16,-5.97237686469221e-17,-8.29163919431776e-16,-8.277243760967821e-16,2.0755339524603923e-14,-6.678710974638422e-16,-8.267628985925816e-16,-7.521178035476116e-16,-4.708184573478105e-16,-8.219166925240206e-16,-8.281286675978993e-16,-5.543948424881413e-16,-6.201540897292441e-16,-4.649347284406161e-16,1.597903171938484e-16,-7.433914345613151e-16,-7.941275076040738e-16,-7.865164194187945e-16,-7.783661082012296e-16,-3.543691779200395e-17,-8.019464189668028e-16,-8.17575394107992e-16,-8.249298386591413e-16,-3.161376323429542e-15,1.8591221221581007e-16,-8.230456893405753e-16,1.5089898143968992e-15,-8.253975698835928e-16,-8.272945596853581e-16,0.006829259907011545,0.00011031043936913934,1.7891582994412e-07,1.435942953402848e-13,6.3681502620212416e-09,1.638263879402247e-14,-8.291614252092858e-16,-8.155394897054424e-16,8.197725547597949e-16,-6.947699222092342e-16,-6.800930288391109e-16,-8.116694990732892e-16,-6.279251451006425e-16,7.975809153166394e-05,-3.860634568693544e-16,4.195139708765811e-11,3.318712467075497e-11,5.308682260990057e-15,1.7317351196273017e-07,-8.283386587676275e-16,5.332988140398901e-13,-3.473734702547031e-16,-5.869790312433777e-16,-7.521961988360434e-16,-7.077085590800258e-16,-4.825002709146057e-16,-6.742110099390351e-16,5.720222904934461e-14,1.9124167544657118e-10,2.0395113009645516e-13,-5.001429316938566e-16
0,0.899056012,111,297.2099194,568.5147784,99891.5085,0.203167645,0.6,"NH3: 0.791752061515411, CH4: 0.208247938484589","O2: 0.21, N2: 0.79",16.807523153067308,20.3167645,0.7124349227756273,4.078196358349404e-15,4.008397541179905e-15,7.12195765931407e-11,0.013846706061541342,1.7373642038075857e-08,7.151031924940707e-12,3.8971955372889297e-05,0.23067969369859284,2.70075383715341e-11,2.632326564854152e-07,3.642237548470108e-05,0.035731620227920584,2.58611621632218e-15,2.5069859964112367e-15,1.8702216217786147e-15,3.791418855461581e-14,1.7731168786802125e-14,2.4927286283868315e-15,2.506779984042623e-15,1.092737366097015e-14,2.386619261953356e-15,2.4451972442083947e-15,1.0849713559331697e-15,2.5031253956988075e-15,1.016596239869735e-15,2.530841327792962e-15,8.749527471344502e-16,2.5028409556799154e-15,2.03399996483535e-15,1.0080369730572323e-07,2.518550554328672e-15,2.3394083395563768e-15,2.515557511997199e-15,2.514593084854687e-15,2.5541149418753848e-14,-1.1193152513113375e-16,2.523941930178439e-15,1.1082052658807316e-15,2.0555762145403943e-15,2.5127440601736432e-15,2.527652806754307e-15,5.587289301338796e-16,1.5237769152010438e-15,5.799696652104206e-16,-7.302094993642969e-15,1.11614322099989e-15,2.4148286800817513e-15,2.2992484509932768e-15,2.4633078774562555e-15,5.298968157431614e-16,1.0861127379049333e-15,2.4356094415548337e-15,2.525038447454629e-15,-2.2769475837368105e-15,-2.4866858652044602e-17,2.532052118692451e-15,-3.291816603761896e-17,2.51741750215578e-15,2.5037891845335297e-15,0.007040204579555263,9.131587238404924e-05,2.136432732711083e-07,5.889626907753014e-13,3.0569383228950154e-08,4.796966842269585e-14,2.5253286096177395e-15,2.47521386499299e-15,2.6511053580087565e-14,1.1617626455817085e-15,1.0841774629655461e-15,1.0611740615636877e-15,1.8543056463401472e-15,9.934963259929608e-05,2.3046218112765572e-15,2.4569363235438996e-11,2.5784841930985336e-11,1.296083865867751e-14,1.6701315387329307e-07,2.5140339453966172e-15,3.9938996772313035e-13,1.4117074858568336e-15,1.1615011205348582e-15,2.4271221593425794e-15,1.2347521877984265e-15,9.8219314777041e-16,1.1926323591161569e-15,1.2928682265559865e-14,2.8066241885403094e-11,4.039559282494306e-14,-1.9744020863502478e-15
0,0.949726015,115,297.1067472,581.0860324,99891.5085,0.223501454,0.6,"NH3: 0.791565566264891, CH4: 0.208434433735109","O2: 0.21, N2: 0.79",19.42199185549373,22.3501454,0.7092616457443408,5.82330744083365e-15,3.8300601848790184e-15,3.1152932698417376e-08,0.004558456633644939,1.2717781381633852e-07,1.827268416624666e-10,0.00021651525887573733,0.2413456076724009,2.8301163469508284e-09,3.5816341165793164e-07,0.00013836122538443666,0.03736981842269403,2.1929234360383302e-13,-7.947062073246032e-16,3.1296884546644157e-16,5.4337661655482377e-14,5.3618721701586156e-14,-8.123409035163151e-16,-7.945881988629676e-16,1.645432133184181e-15,-7.836437895809682e-16,-9.428755657386868e-16,-4.6208483880759e-16,-7.941653862575129e-16,-4.685824957366504e-16,-7.956883817406379e-16,-6.855162217697419e-16,-8.225925106535545e-16,-9.577753527990055e-16,1.0951659413822431e-07,-7.963912773903718e-16,-4.2309948411574204e-17,-7.9498549398937565e-16,-8.032792941327746e-16,3.9463928281903316e-14,-1.75289784326879e-16,-7.950639929620125e-16,-4.599538917558869e-16,-9.88131963332324e-16,-8.23016782581824e-16,-7.941529901865759e-16,-4.802005391279939e-16,-7.640248809354248e-16,-5.699405528378932e-16,1.8316405362213233e-15,-4.386984594975923e-16,-8.98845054818109e-16,-1.0360700824843658e-15,-8.116141488310801e-16,-6.895940323801423e-16,-4.56849650415078e-16,-9.1808659672095e-16,-8.28221523959577e-16,-1.005034520201337e-15,-1.8692948224314724e-15,-7.979288515538861e-16,-1.2699616582782414e-15,-8.093692615094048e-16,-7.184876158345621e-16,0.006948922790384135,2.5652438332284746e-05,5.374022268344858e-07,9.591551586345316e-12,8.889587452643035e-07,1.8548902080495238e-13,2.1532251692186117e-15,-7.271984892326592e-16,3.211733816133539e-12,-4.683723227345779e-16,-9.387304793483061e-16,-6.216166990847902e-16,-8.689803881887722e-16,0.00013280206781958315,1.6304486562716462e-14,3.747348499676726e-12,1.9714916917555668e-11,7.279284983220133e-15,1.6231369721060656e-07,-7.998336520508546e-16,4.753802573744181e-13,-9.087501901856821e-17,-9.135727677425886e-16,-8.379086287899405e-16,-4.988584825386428e-16,-1.0485256766694203e-15,-4.702577799177891e-16,7.394906906683721e-15,1.0552490137999908e-11,3.4890265875068253e-15,8.121102482359115e-17
0,0.950337331,117,297.6338981,571.7496301,99574.86875,0.223690869,0.6,"NH3: 0.791681974456772, CH4: 0.208318025543228","O2: 0.21, N2: 0.79",19.237145232402412,22.3690869,0.7092414805891291,-6.45050809136835e-15,-6.733371271303762e-15,3.093800140985137e-08,0.004499097795642463,1.162074523684256e-07,1.5879612066366228e-10,0.00022163829114182264,0.24137327616599993,2.8194560800127427e-09,3.60655143547844e-07,0.0001415186872123193,0.037399158047372226,2.257232965945652e-13,-1.2573149327293203e-15,-6.1858312093659e-16,5.3938292690200476e-14,4.2394271049986005e-14,-1.2712360319104608e-15,-1.2578209218590904e-15,-3.831998394153016e-15,-1.2514928270969103e-15,-1.3709743037025655e-15,-1.8579642164317383e-15,-1.258363762605853e-15,-2.2123535105387383e-15,-1.2507364271864778e-15,-1.2710517107262704e-15,-1.2767781913456813e-15,-1.440866481500254e-15,1.0919508047617466e-07,-1.2541572495629223e-15,-2.5745408964424527e-15,-1.254843234955139e-15,-1.2610747388953702e-15,3.933209885578895e-14,-2.2273328974449096e-15,-1.25296364847238e-15,-1.7822091407045253e-15,-1.429699453894189e-15,-1.2746638473525984e-15,-1.2516498041088812e-15,-1.8172980797332933e-15,-1.6223456055927065e-15,-1.6612211644850202e-15,-2.487782599620227e-15,-1.7893182057662095e-15,-1.3481080999720071e-15,-1.4463084422509762e-15,-1.2638920275295463e-15,-1.267873824683406e-15,-1.74706301461244e-15,-1.3664215287816078e-15,-1.2719277834788095e-15,-2.212719866617371e-15,-2.188310575971232e-15,-1.2499218624967782e-15,-1.7206404784700248e-15,-1.263294084372998e-15,-1.1909471281002349e-15,0.006962056644722799,2.5117311565301997e-05,5.554231930549232e-07,1.0044720880846137e-11,9.390787913439731e-07,1.8422560429306432e-13,1.5217820804308873e-15,-1.1950084431848669e-15,3.242101517450553e-12,-1.600884248320856e-15,-1.3927603572614399e-15,-1.6533610233347317e-15,-1.5122213805878523e-15,0.00013437981669349856,1.6178288943518382e-14,3.573151424999861e-12,1.9608923740159906e-11,5.599567062896548e-15,1.6212701126127723e-07,-1.2583199342288588e-15,4.718303744510796e-13,-1.3197067046217022e-15,-1.4721192595410087e-15,-1.2923843963377607e-15,-1.7738621283510446e-15,-1.5111417042429931e-15,-1.833225878197217e-15,6.427779243988899e-15,1.0176410470689262e-11,1.965087906343649e-15,-2.234376051918485e-15
0,1.0003369,126,297.0527334,584.9273641,99891.5085,0.237030264,0.6,"NH3: 0.791689692756651, CH4: 0.208310307243349","O2: 0.21, N2: 0.79",22.09746634971941,23.7030264,0.7049519536306975,3.3403831273576038e-15,2.3138272169156975e-15,5.277294053272166e-06,6.820401906895959e-05,8.691710394034316e-08,6.79816910068122e-11,0.004308040033179071,0.24529494889654543,8.504088862706529e-09,9.827001106586993e-09,0.00210216704817749,0.036906060326235654,1.0596645340270977e-09,-8.575163153280522e-16,2.385451876183507e-14,2.1985022161821525e-12,2.375543500600461e-10,-4.945934939003177e-16,-8.589959957704465e-16,-1.7699758930500181e-16,8.138597757730376e-14,-8.904999225810215e-16,2.613482063963777e-15,-8.595314396939568e-16,-5.452903114084223e-16,-8.40323655952964e-16,-1.6382226179822497e-15,-8.429020193551137e-16,-9.695297176584647e-16,1.222471990802884e-07,-8.478395127120019e-16,-8.72254322295488e-16,-8.502909104265052e-16,1.393554907139219e-14,8.65742841819489e-14,-8.396587268902625e-16,-8.432791909177088e-16,-7.258985412196078e-16,-9.691266291229595e-16,-9.169643858520822e-16,-8.425941504164179e-16,-1.1451577448328036e-15,-1.0568531971473691e-15,-8.598499661979981e-16,-7.81164045165839e-16,-8.947235660861806e-16,-8.399852515343343e-16,-1.4973333480526357e-15,-8.360985835726159e-16,-1.635154171593949e-15,-1.0428190149581661e-15,-7.855378773242141e-16,-1.0148116234010903e-15,-7.296307217603652e-16,-1.1441149148116378e-15,-8.321337821894587e-16,-1.1788289623568595e-15,-1.0172461015315942e-15,5.891450307995115e-13,0.00630941794047966,2.6876546770691317e-07,1.9117987834542355e-05,3.893876903386258e-09,9.8451857663171e-06,1.769583656209762e-15,3.463849391705355e-13,2.3628270598185423e-14,3.949322847528191e-10,2.559678557184916e-13,-8.451321902933966e-16,3.130588237353916e-16,-9.46258153892933e-16,2.4304972485009448e-05,1.451828661238878e-14,6.153224302196542e-14,9.139726596955014e-13,-8.073529040676839e-16,1.605585789255917e-07,-8.31293509035326e-16,1.7767593379419592e-11,7.901152138140083e-15,3.687497808692161e-14,-7.504552966268936e-16,-1.0004676553006715e-15,-1.3703308337965438e-15,-5.050897159683629e-16,3.866110062762134e-15,1.6959271388788454e-10,-2.885792650651099e-16,4.164989682134552e-14
0,1.049597736,119,297.6362409,583.9707719,99680.41533,0.243134543,0.6,"NH3: 0.79169711164477, CH4: 0.20830288835523","O2: 0.21, N2: 0.79",21.720051626418353,24.3134543,0.6990613921183806,-1.845509835950553e-14,-1.843879444656904e-14,8.751676070677258e-06,4.588982983241196e-06,2.6754507168323266e-08,1.2253055899928874e-10,0.011511103662678478,0.24429143556627136,9.923376204389616e-10,1.271969592900584e-09,0.005865509509360296,0.03394165424706349,5.391129075777955e-09,7.01163628974407e-17,2.0414126606644401e-13,1.8920244534278197e-11,1.1461309866312934e-09,1.5021252538362251e-15,7.155848217129707e-17,2.5435415235808026e-15,2.12361284007837e-13,1.8962572217615452e-16,4.851359374182431e-15,6.910231326909159e-17,3.6838793211666215e-16,7.94724845124928e-17,6.367218273915575e-16,7.749957087000295e-17,2.765989817153013e-16,1.36103519028643e-07,7.503452389736398e-17,1.8656833352593436e-16,7.393468133586736e-17,1.188697815832123e-13,3.2086712513567275e-13,1.3202071589267044e-15,7.744649925195896e-17,8.469301752601572e-16,1.4532895976515226e-16,1.6382254699631823e-16,7.711441891877828e-17,5.166330901089032e-16,3.34502288312264e-16,1.2404621193285314e-16,1.7056444040704586e-15,8.281545128720881e-16,1.6238223275380243e-15,6.609119093137112e-16,8.183297341028854e-17,6.263880632634303e-16,6.709527003651307e-16,1.2057848921134452e-16,1.8163753259409558e-16,9.856058852142012e-16,1.1559958015987018e-16,8.268900412949125e-17,2.1864696283497188e-16,6.37553182389357e-16,4.685721327296342e-12,0.005262583262393389,2.0787345757302165e-08,3.8953552340730246e-05,5.5951412102139926e-08,7.344680476268965e-06,1.0896362483988492e-15,8.442814793903237e-13,4.981005578133097e-13,1.5412140163027998e-09,1.4518633293167427e-12,8.018850849853874e-17,5.416492403625195e-14,1.6799078256120947e-16,6.266615237191422e-06,4.166937247026115e-15,1.779972536857981e-14,7.833768738072384e-14,8.506780706537226e-17,1.6194950981327417e-07,9.366103609605336e-17,8.949022342785177e-10,4.0606679918820364e-13,1.7848362209036303e-12,2.5991731741832038e-15,2.1586829336496757e-16,6.939354319383885e-16,7.947068462062067e-16,2.737778679735299e-14,3.190427138111689e-09,1.285945077880945e-14,1.7543302979271953e-13
0,1.099913844,128,297.6021345,581.3286171,99680.41533,0.24074955,0.6,"NH3: 0.791764368651892, CH4: 0.208235631348108","O2: 0.21, N2: 0.79",21.836149101886576,24.074955,0.6932641892086178,-1.821612887884862e-15,-1.947590360113236e-15,1.2199514960517255e-05,8.556130968411797e-07,1.7959755644915942e-08,2.861278975301015e-10,0.019473830429304263,0.24273049706646327,3.5787817120729267e-10,4.5106669641060463e-10,0.009477634991060708,0.03123482751296527,1.646520722340799e-08,-7.403110760042368e-16,7.553955093130062e-13,9.629216567194417e-11,4.130825183595654e-09,1.1712980403560282e-14,-7.260692195065423e-16,-2.5695443513613057e-15,1.1859986858859758e-12,-7.8699603263674775e-16,-4.918476903013989e-15,-7.377919725930616e-16,-7.645451605483658e-16,-7.254733392055523e-16,-1.2711184164903972e-15,-7.347018808674673e-16,-7.446075484653963e-16,1.6056322060881275e-07,-7.328252112516872e-16,-7.486661043322394e-16,-7.349249795691578e-16,4.106426497151667e-13,1.2571929749791592e-12,5.026703739832306e-15,-7.240039539607238e-16,-1.3255607348844534e-15,-7.604469089013745e-16,-7.67858426979683e-16,-7.283344342793771e-16,-1.0333175100101194e-15,-8.891007061139312e-16,-7.503374342976982e-16,-1.8452660565239416e-15,-1.3539656941334006e-15,-2.1815369061149907e-15,-1.1767014747839711e-15,-7.220442795871412e-16,-1.2617725764054704e-15,-1.1688240094493956e-15,-7.403835986894672e-16,-7.719056469119433e-16,-1.4396206169548945e-15,-7.345178245253951e-16,-7.201324100306243e-16,-7.832409641149595e-16,-1.2637710510161176e-15,1.5972827874403053e-11,0.0037504566605786973,5.965562051974607e-09,4.584770613239192e-05,2.439167547670501e-07,5.941702897632904e-06,-3.750383777933862e-16,1.1239283109051777e-12,2.0003530030726106e-12,2.6935593509736376e-09,3.2516536815192474e-12,-7.055773719541634e-16,3.7843021911510023e-13,-7.748721538668486e-16,2.9388414648750543e-06,2.215402530002449e-17,4.06357294540526e-15,1.610625295623599e-14,-7.205651642642887e-16,1.6783642371449722e-07,-3.7446955309503643e-16,5.8776216107264274e-08,2.0465064340718265e-11,1.5477924789218444e-10,2.484296264586412e-13,-8.031189897634641e-16,2.013390529111626e-15,1.0591482659774602e-15,2.9890270930170053e-13,1.0105026850648516e-07,2.508387455613857e-13,9.280350347124095e-13
0,1.150186481,111,297.697272,575.284819,99680.41533,0.231807102,0.6,"NH3: 0.791758181910196, CH4: 0.208241818089804","O2: 0.21, N2: 0.79",20.38600499803377,23.180710199999996,0.6876561406507277,6.345440695532836e-15,3.2926264415500066e-15,1.8306957934827253e-05,2.3129092399113132e-07,1.4852441983131602e-08,8.683267355096726e-10,0.027679485794890567,0.24076736864297135,2.4297815192056315e-10,2.0893192510759993e-10,0.012673064686368123,0.029030813686061422,5.33769173597174e-08,-4.679633960475878e-16,3.314172408499286e-12,5.748351083071329e-10,1.683644983792562e-08,1.6751631262656337e-13,-3.1273425211022213e-16,-8.553039246324833e-16,8.926544324109e-12,-4.878545316884338e-16,-1.2559991058773094e-15,-3.722207568764407e-16,2.0097736688841024e-16,-4.487301209877619e-16,-6.068774529352224e-16,-4.602796631888695e-16,2.344754785709831e-16,2.002801732506216e-07,-4.595540421438912e-16,-2.832846609522196e-16,-4.607036393975812e-16,1.5421439432469308e-12,7.200865948564817e-12,6.816131913857413e-14,-4.1225331643020565e-16,-6.391446193003968e-16,-5.213371390356706e-16,-4.806574649081916e-16,-4.516180013405608e-16,-5.670321629343373e-16,-5.251412340652617e-16,-4.680451858052803e-16,-7.64910134916348e-16,-6.353261908619447e-16,-8.258846535701284e-16,-7.559072691242265e-16,-4.448906370744172e-16,-6.0620541634259815e-16,-5.932078535135952e-16,-5.049072873051803e-16,-5.607814499033623e-16,-6.654323043284545e-16,-4.941018489040776e-16,-4.408571982427253e-16,-5.854765028137451e-16,-6.180944654105385e-16,6.471240367847934e-11,0.0021216849654985053,2.636045804307287e-09,3.90242387353907e-05,8.923739694732063e-07,4.252392231132776e-06,-1.4443584183276643e-16,1.5546636290894572e-12,8.167612169846986e-12,4.136480134259252e-09,5.261503709830024e-12,-3.467501945772075e-16,1.8772128817035863e-12,-4.858573086067053e-16,1.3127669587336205e-06,-1.784937133314971e-16,4.038921378174196e-16,4.234962432158466e-15,-4.392091716228932e-16,1.7874053454067826e-07,8.360689898766875e-15,3.154682692762432e-06,7.269885272922701e-10,1.1637785871382536e-08,2.3512227724845276e-11,-4.942719769367739e-16,7.676265697068315e-14,1.3052091712222145e-13,4.880465834144798e-12,3.7816093457545266e-06,4.542251015188636e-12,5.865297303168249e-12
0,1.199157725,102,297.8085218,571.0577581,99680.41533,0.218162522,0.6,"NH3: 0.79177700579505, CH4: 0.20822299420495","O2: 0.21, N2: 0.79",18.808402182762734,21.8162522,0.6825504085623818,9.903353864020915e-15,6.525364687299633e-15,2.310529419289519e-05,5.708654813811976e-08,6.2478202624558e-09,3.0221606093620153e-09,0.035300250952672106,0.23873688997474024,2.0824563389773853e-10,9.192589108252211e-11,0.015514030154401845,0.02698459935480181,2.1599036849271406e-07,-7.190664606202591e-16,2.7969013134586028e-11,1.2149881557754574e-08,9.656236822572507e-08,7.549742448152262e-12,3.3495214529764158e-15,1.1364773662062795e-15,2.138894937306972e-10,-6.118584484685773e-16,8.982274951365235e-15,5.158039037444152e-15,2.4516372345024043e-14,-7.182635218239121e-16,-1.4886468601701433e-16,-7.161440909089264e-16,1.4663389603126142e-14,2.5026185426011643e-07,-6.974989692031706e-16,2.3605574091066264e-15,-7.176020364766204e-16,6.148668419811056e-12,9.307661911460742e-11,2.127696158537515e-12,5.369232656908515e-16,1.517768184089654e-16,-3.786485429961494e-16,-5.662534783322677e-16,-7.184866152229323e-16,-3.994831067051256e-16,-4.996697892933896e-16,-6.588329667254276e-16,-1.4897592653642507e-16,-3.600954164193373e-16,-8.58536233388495e-18,-1.0612318541669709e-16,-7.091652434940229e-16,-1.5625794768375903e-16,-3.361032549848548e-16,-4.0375912098584405e-17,-3.844408199107491e-16,-4.510837811724923e-16,-3.070263382881921e-16,-7.16060306414528e-16,-4.2990552411381046e-16,-6.070312558466565e-16,3.4145659305845956e-10,0.000647124771529467,1.3024124148626255e-09,2.413703008436178e-05,5.145280020279672e-05,2.3571497683621633e-06,4.554238974199623e-15,1.2315256743853782e-12,3.10535600726587e-10,5.375760058326814e-09,1.2186126243171926e-11,3.686168904971779e-15,1.7992928760142705e-10,-5.984019437701482e-16,3.211096313708348e-07,1.2030374107728973e-15,-3.9118788100817103e-16,8.733692146992992e-16,-6.425745835250182e-16,1.9112421026199627e-07,8.614069720570465e-14,8.107444562894755e-05,1.0753770408049206e-08,5.059231805097883e-07,1.6410257803786054e-09,-4.540052186570718e-16,6.3980003466751025e-12,2.0146483489494227e-11,2.8348506630009135e-11,8.288930538480155e-05,4.2366614724624655e-11,5.952697607717343e-11
